,date,"In 2016, [MASK] has become an adult.","In 2016, [MASK] was a kid.","In 2016, [MASK] was a teenager.","In 2016, [MASK] was a grown up.","In 2016, [MASK] was a child.","In 2016, [MASK] was an adolescent.","In 2016, [MASK] was an adult.","In 2016, [MASK] is a kid.","In 2016, [MASK] is a teenager.","In 2016, [MASK] is a grown up.","In 2016, [MASK] is a child.","In 2016, [MASK] is an adolescent.","In 2016, [MASK] is an adult.","In 2016, [MASK] will be a kid.","In 2016, [MASK] will be a teenager.","In 2016, [MASK] will be a grown up.","In 2016, [MASK] will be a child.","In 2016, [MASK] will be an adolescent.","In 2016, [MASK] will be an adult.","In 2016, [MASK] is being a kid.","In 2016, [MASK] is being a teenager.","In 2016, [MASK] is being a grown up.","In 2016, [MASK] is being a child.","In 2016, [MASK] is being an adolescent.","In 2016, [MASK] is being an adult.","In 2016, [MASK] has been a kid.","In 2016, [MASK] has been a teenager.","In 2016, [MASK] has been a grown up.","In 2016, [MASK] has been a child.","In 2016, [MASK] has been an adolescent.","In 2016, [MASK] has been an adult.","In 2016, [MASK] became a kid.","In 2016, [MASK] became a teenager.","In 2016, [MASK] became a grown up.","In 2016, [MASK] became a child.","In 2016, [MASK] became an adolescent.","In 2016, [MASK] became an adult.","In 2016, [MASK] becomes a kid.","In 2016, [MASK] becomes a teenager.","In 2016, [MASK] becomes a grown up.","In 2016, [MASK] becomes a child.","In 2016, [MASK] becomes an adolescent.","In 2016, [MASK] becomes an adult.","In 2016, [MASK] will become a kid.","In 2016, [MASK] will become a teenager.","In 2016, [MASK] will become a grown up.","In 2016, [MASK] will become a child.","In 2016, [MASK] will become an adolescent.","In 2016, [MASK] will become an adult.","In 2016, [MASK] is becoming a kid.","In 2016, [MASK] is becoming a teenager.","In 2016, [MASK] is becoming a grown up.","In 2016, [MASK] is becoming a child.","In 2016, [MASK] is becoming an adolescent.","In 2016, [MASK] is becoming an adult.","In 2016, [MASK] has become a kid.","In 2016, [MASK] has become a teenager.","In 2016, [MASK] has become a grown up.","In 2016, [MASK] has become a child.","In 2016, [MASK] has become an adolescent."
0,1801,50.7,68.4,54.9,37.9,25.3,60.4,55.0,38.6,27.8,33.7,5.4,25.9,5.9,24.5,44.6,35.1,1.7,46.1,54.7,37.6,27.5,30.8,27.2,37.0,53.2,25.6,50.5,30.0,2.0,52.8,44.4,78.5,60.6,38.9,30.6,65.7,61.7,55.9,40.7,34.1,29.4,50.1,49.8,54.1,47.8,42.5,26.3,48.7,54.3,30.3,23.9,27.5,21.9,24.5,42.4,42.0,33.6,34.7,28.0,35.3
1,1808,48.1,65.7,60.5,40.2,35.5,66.7,55.0,30.6,29.3,29.6,12.6,25.6,45.7,19.6,48.3,36.4,3.6,47.4,53.8,34.8,28.8,33.4,31.9,36.8,53.4,34.1,50.9,38.0,5.1,55.2,51.2,75.1,67.8,45.4,36.7,73.9,63.9,55.6,50.0,36.6,32.2,54.4,49.6,53.8,52.5,43.9,31.1,50.3,53.3,29.1,25.2,25.1,22.1,24.1,39.3,39.9,35.5,33.5,27.9,34.3
2,1815,48.7,66.6,60.5,39.7,31.5,68.4,56.6,28.1,26.2,29.4,10.2,25.9,35.0,17.6,46.0,36.4,3.3,45.1,55.3,31.0,24.4,31.8,29.7,33.0,49.2,32.1,52.6,32.8,4.3,55.1,52.5,71.9,66.9,43.1,34.1,73.3,62.3,51.3,42.9,35.7,30.2,53.2,48.5,51.5,51.3,45.2,30.6,51.0,55.3,26.4,23.0,25.0,21.5,23.9,39.4,38.2,33.2,33.9,28.0,34.7
3,1823,49.9,63.7,54.9,39.8,25.2,62.5,51.9,37.8,30.2,35.0,7.1,27.4,37.1,22.2,47.2,34.3,2.3,47.6,52.2,44.2,37.2,34.7,29.0,39.5,53.3,37.2,51.4,39.4,3.7,53.5,50.5,76.0,61.9,42.9,35.0,67.3,59.8,58.4,43.1,38.0,31.7,51.9,50.7,61.6,54.2,47.4,30.6,53.6,53.0,37.4,33.5,31.1,26.8,28.0,44.0,47.4,43.7,38.1,31.5,37.8
4,1830,48.3,69.8,58.7,40.8,35.4,62.8,56.4,28.2,25.5,31.9,11.8,23.7,14.0,25.8,47.6,39.6,3.2,46.2,56.2,33.0,21.9,32.6,29.8,27.8,51.4,36.7,49.9,38.5,5.3,54.5,49.4,76.5,65.6,46.2,37.5,69.8,63.5,56.4,42.4,35.7,33.2,53.5,51.0,60.9,53.7,47.7,34.0,50.8,56.1,25.2,18.6,23.9,19.3,19.8,39.3,40.1,31.3,35.5,28.5,31.7
5,1838,51.6,64.8,56.2,39.2,28.8,56.7,53.1,27.7,25.6,34.0,9.2,21.9,7.5,19.9,44.7,35.0,2.3,43.3,51.9,37.0,26.8,32.0,29.6,32.6,53.4,31.5,48.1,36.0,3.3,53.6,40.3,72.2,59.9,43.1,35.1,62.4,59.7,51.3,36.2,33.6,31.3,45.7,46.5,59.3,53.0,45.8,31.8,49.0,54.0,28.7,23.6,28.4,24.1,21.7,44.4,42.1,37.4,37.8,31.5,34.5
6,1845,51.1,68.9,59.0,39.0,33.7,56.9,56.9,28.1,27.7,31.9,9.9,20.5,22.3,24.6,47.6,37.5,3.4,47.9,56.3,34.2,25.1,32.4,31.8,28.7,52.1,31.2,48.9,34.0,5.0,52.5,49.8,74.5,63.2,43.4,38.4,64.3,62.8,51.7,41.9,33.4,32.4,47.3,50.3,60.2,54.3,45.4,35.5,51.0,56.5,28.2,23.5,27.8,23.6,21.3,41.6,41.2,37.0,36.3,30.4,31.6
7,1852,54.3,65.9,56.1,40.4,33.2,57.9,56.0,31.1,28.2,33.2,9.6,24.7,9.6,26.8,47.4,38.3,3.3,49.7,57.5,42.7,31.2,35.5,33.9,36.5,59.6,37.9,48.5,37.8,5.3,54.2,49.4,73.7,59.6,43.1,35.2,64.7,61.3,53.4,40.5,35.3,31.0,50.2,52.5,62.9,54.1,47.0,33.6,53.8,57.6,33.1,26.3,30.5,24.9,26.3,50.1,43.6,36.8,37.6,29.7,35.6
8,1860,54.6,61.4,50.8,34.9,28.0,56.4,52.7,26.7,24.2,31.1,7.1,23.4,13.2,14.4,38.1,30.2,2.4,37.7,52.7,39.2,26.6,23.4,28.6,34.2,54.2,23.0,46.9,19.8,3.8,51.6,47.6,71.3,57.0,39.2,35.8,65.2,60.8,51.7,40.5,33.2,31.3,50.6,52.4,54.0,46.9,42.7,33.5,49.3,55.1,30.5,23.0,27.2,22.3,23.4,45.9,43.0,36.3,31.3,30.2,37.8
9,1867,51.8,65.9,55.9,38.0,27.8,59.4,55.4,22.4,23.7,32.0,8.2,21.4,14.0,23.2,48.1,36.9,1.9,44.1,56.3,28.0,21.7,30.9,27.4,28.6,52.1,32.5,48.2,32.7,3.7,50.6,49.8,74.2,60.8,42.1,36.7,65.4,61.2,50.0,42.0,35.0,31.0,51.6,52.7,59.6,52.7,46.3,31.7,52.9,57.3,23.8,20.9,27.1,20.7,21.9,43.0,38.3,33.1,35.3,27.9,32.9
10,1875,53.1,64.4,52.5,34.6,27.1,58.3,52.7,28.3,23.4,29.9,8.2,25.4,12.6,21.7,44.5,32.3,1.7,42.5,53.9,35.3,26.4,30.0,28.9,36.8,55.5,34.8,46.4,33.1,5.5,52.4,48.5,72.6,58.2,40.2,36.2,64.5,59.5,53.5,40.2,33.2,31.8,49.4,48.0,59.1,50.5,43.2,32.1,53.7,54.9,33.0,25.8,28.8,23.1,29.5,47.7,41.9,35.8,34.8,28.5,36.9
