,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,99.992,99.996,99.987,99.998,99.634,99.988,99.998,99.996,99.977,99.998,99.886,99.986,99.998,99.993,99.855,99.994,99.745,99.962,99.995,99.996,99.784,99.998,99.944,99.94,99.996,99.991,99.947,99.99,99.475,99.888,99.996,99.994,99.281,99.996,99.946,99.959,99.982,99.989,99.678,99.99,99.739,99.968,99.973,99.988,99.659,99.988,99.716,99.973,99.963,99.986,99.811,99.992,99.76,99.96,99.995,99.996,99.799,99.993,99.911,99.947
1,1808,99.98,99.997,99.989,99.998,99.765,99.985,99.997,99.997,99.967,99.997,99.868,99.976,99.998,99.994,99.905,99.989,99.407,99.941,99.995,99.996,99.497,99.996,99.846,99.91,99.991,99.99,99.941,99.98,99.635,99.898,99.993,99.993,98.944,99.996,99.885,99.976,99.968,99.989,99.68,99.993,99.654,99.978,99.961,99.988,99.209,99.959,99.229,99.967,99.937,99.989,99.781,99.976,99.534,99.983,99.995,99.996,99.771,99.984,99.889,99.964
2,1815,99.977,99.985,99.951,99.992,98.821,99.96,99.996,99.993,99.934,99.994,99.352,99.943,99.997,99.979,99.511,99.961,98.837,99.921,99.993,99.993,99.165,99.995,99.616,99.861,99.998,99.977,99.857,99.959,99.396,99.878,99.993,99.99,97.759,99.986,99.797,99.953,99.936,99.985,99.2,99.98,99.383,99.962,99.921,99.98,98.178,99.956,99.338,99.958,99.823,99.972,99.748,99.965,99.443,99.974,58.979,99.994,99.603,99.983,99.754,99.954
3,1823,99.985,99.994,99.98,99.996,99.583,99.984,99.997,99.994,99.96,99.996,99.735,99.966,99.998,99.994,99.523,99.985,99.479,99.939,99.987,99.997,99.774,99.993,99.851,99.912,99.993,99.986,99.89,99.97,99.3,99.8,99.992,99.991,98.965,99.984,99.417,99.951,99.93,99.985,99.319,50.469,98.998,99.976,99.878,99.989,98.966,99.988,98.56,99.938,99.879,99.98,99.702,99.978,98.539,99.975,50.72,99.995,99.61,99.983,99.475,99.948
4,1830,99.938,99.994,99.931,99.993,97.514,99.944,99.992,99.987,99.845,99.992,97.642,99.91,99.99,99.99,99.511,99.967,97.182,99.516,99.955,99.997,98.944,99.992,98.756,99.86,99.997,99.981,99.676,99.965,97.51,99.29,99.993,99.992,96.96,99.969,98.908,99.798,99.878,99.984,99.029,50.626,97.838,99.868,99.758,99.981,99.156,99.945,97.8,99.907,99.767,99.973,99.365,50.303,96.118,99.704,99.986,99.993,98.783,99.931,99.027,99.728
5,1838,99.879,99.988,99.952,99.991,97.36,99.917,99.985,99.988,99.872,99.988,98.091,99.699,99.98,99.993,99.462,99.961,98.002,99.846,99.962,99.985,98.355,99.972,98.044,99.352,99.976,99.973,99.601,99.873,97.401,98.131,99.946,99.973,96.126,99.937,98.24,99.533,99.712,99.976,99.229,99.949,96.436,99.839,99.73,99.973,98.115,99.935,94.528,99.863,99.129,99.957,99.145,99.843,90.165,99.881,54.404,99.99,98.352,99.927,98.712,99.564
6,1845,99.94,99.996,99.96,99.995,99.255,99.975,99.995,99.984,99.87,49.499,99.42,99.838,49.111,99.99,99.571,99.983,98.867,99.903,99.978,99.993,98.678,99.983,99.477,99.664,99.989,99.977,99.856,99.944,99.007,99.559,99.987,99.988,97.917,99.967,99.555,99.886,99.903,99.978,98.628,99.959,98.783,99.923,99.869,99.976,97.902,99.941,98.309,99.877,99.832,99.948,99.418,99.875,96.425,99.823,58.218,99.992,99.191,99.946,99.528,99.814
7,1852,99.723,99.993,99.932,99.987,98.459,99.945,99.979,99.986,99.8,99.977,98.346,99.75,99.982,99.983,98.766,99.898,95.631,99.579,99.966,99.989,97.907,99.946,98.252,99.629,99.976,99.961,99.492,99.905,96.337,98.802,99.935,99.978,97.403,99.936,98.186,99.745,99.703,99.954,97.705,99.924,96.568,99.793,99.414,99.948,96.53,99.937,94.592,99.795,99.493,99.906,98.764,99.846,90.352,99.638,99.933,99.983,98.333,99.898,97.875,99.749
8,1860,48.841,99.997,99.961,99.996,96.873,99.978,99.997,99.992,99.964,99.996,98.229,99.971,99.997,99.993,99.923,99.982,97.147,99.953,99.995,99.999,99.634,99.996,99.497,99.935,99.999,99.983,99.911,99.974,98.724,99.816,99.994,99.995,98.805,99.983,98.876,99.827,99.955,99.989,99.643,53.163,98.603,99.977,99.888,99.992,99.8,99.981,99.36,99.977,99.95,99.986,99.725,99.901,97.677,99.958,99.995,99.995,99.552,99.921,99.353,99.903
9,1867,99.859,99.983,99.953,99.981,98.267,99.894,99.989,99.957,99.869,99.969,98.242,99.836,99.991,99.966,99.56,99.926,96.746,99.877,99.969,99.991,97.183,99.985,98.998,99.798,99.992,99.935,99.432,99.826,96.281,98.546,99.955,99.971,95.211,99.76,96.953,99.801,99.675,99.948,98.323,99.7,97.21,99.938,99.469,99.942,99.068,99.894,94.195,99.949,99.778,99.9,98.777,99.535,90.519,99.866,99.933,99.977,98.226,99.67,96.481,99.645
