,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,3.455,0.0,1.205,2.177,0.0,0.793,0.0,0.0,2.624,2.18,2.185,1.923,2.736,0.0,1.828,3.296,1.75,1.837,2.609,2.837,3.7,3.874,3.267,2.757,3.827,1.25,1.817,2.919,1.715,2.066,2.692,0.0,0.0,0.0,1.203,1.208,0.0,1.545,3.11,2.576,2.381,2.667,2.548,0.0,2.542,2.965,1.231,0.0,0.0,1.788,4.237,2.979,3.173,3.881,4.399,1.231,2.675,3.223,2.698,2.89
1,1808,1.72,0.0,0.778,1.382,0.0,0.936,0.0,0.0,1.956,1.36,1.532,2.116,1.717,0.0,1.103,1.593,0.825,1.073,0.0,1.83,2.601,1.736,2.373,2.245,2.294,0.656,0.861,2.225,0.918,1.519,1.33,0.0,0.888,1.591,0.816,0.997,0.0,0.639,1.977,1.027,1.84,1.546,1.485,45.629,1.208,1.576,0.803,1.275,1.276,1.394,2.876,2.456,2.259,2.888,2.919,1.012,2.013,2.042,1.611,2.202
2,1815,1.567,0.0,0.765,1.411,1.015,0.928,0.0,0.0,1.826,1.329,1.743,1.579,1.663,0.0,1.167,1.805,1.035,1.038,0.0,1.808,2.441,1.692,2.351,2.386,1.886,0.727,0.784,1.939,1.004,1.469,1.573,0.0,0.846,1.788,0.766,1.087,0.0,0.628,1.582,1.402,1.274,1.656,1.541,45.117,1.087,1.469,0.718,1.385,0.0,0.654,1.875,1.836,2.238,3.029,2.671,0.0,1.799,1.866,1.379,2.046
3,1823,1.633,0.0,0.85,1.578,1.168,0.954,1.447,0.0,1.202,1.581,1.872,1.82,1.912,0.0,1.062,1.918,1.039,1.244,0.0,1.724,2.331,1.788,2.216,2.383,2.427,0.837,0.947,2.118,0.898,2.08,1.695,0.0,1.025,1.671,0.893,1.153,0.0,0.688,1.381,1.493,1.371,1.762,1.823,45.043,1.275,1.782,0.916,1.196,1.599,0.764,1.988,1.834,1.276,2.944,3.25,0.0,1.651,2.003,1.443,2.194
4,1830,1.467,0.0,1.438,1.349,1.135,0.981,0.0,0.0,1.717,1.398,1.616,1.459,1.637,0.0,0.952,1.51,0.819,0.749,0.978,1.59,1.113,1.199,2.122,2.068,2.187,0.592,0.669,1.956,0.768,1.33,1.212,0.0,0.803,0.0,0.778,1.047,0.0,0.588,1.886,1.154,1.139,2.078,1.575,0.0,0.0,1.267,0.757,0.822,0.0,0.668,2.33,1.685,67.315,3.124,2.857,0.698,1.701,2.048,1.227,1.57
5,1838,1.73,0.0,1.218,1.437,1.307,0.951,0.0,0.0,1.67,1.521,1.906,2.451,1.703,0.0,0.809,1.656,1.098,1.189,0.0,1.944,2.192,1.718,2.198,2.131,1.614,0.766,0.87,2.0,1.098,1.442,1.285,0.0,1.197,1.727,1.054,1.232,0.0,0.674,2.185,1.295,1.21,1.84,1.543,50.341,1.061,1.386,1.033,1.228,1.691,1.487,2.953,1.79,2.303,3.197,3.036,0.99,1.794,2.046,1.68,2.231
6,1845,1.912,0.0,0.94,1.495,1.267,1.018,0.0,0.0,1.908,1.349,1.512,2.288,1.627,0.0,0.936,1.634,0.942,1.024,0.0,1.924,1.344,1.709,2.238,2.141,1.819,0.838,0.826,2.2,0.894,1.877,1.53,0.0,0.811,1.554,0.967,1.13,0.0,0.784,1.915,1.576,1.204,1.805,1.469,44.58,1.143,1.523,0.896,1.147,0.0,0.86,3.014,1.791,2.317,2.742,2.898,0.983,2.01,2.023,1.522,2.325
7,1852,1.859,0.0,0.88,1.625,1.185,0.926,0.0,0.0,1.817,1.296,2.261,2.107,1.823,0.0,0.833,1.746,0.949,0.909,0.0,2.08,1.362,1.729,2.902,2.305,2.286,0.662,0.803,1.764,0.93,1.41,1.278,0.0,0.755,1.656,1.224,1.209,1.382,0.797,1.838,1.479,1.258,1.752,1.502,0.0,1.009,1.521,0.925,0.947,0.0,0.78,2.959,2.168,2.229,2.708,2.724,1.025,1.79,2.075,1.537,2.115
8,1860,1.739,0.0,0.636,1.092,0.897,0.862,0.0,0.0,1.531,1.248,1.285,1.749,1.73,0.0,0.766,1.564,0.856,0.755,0.825,1.634,64.179,1.718,2.682,2.48,1.325,0.702,0.814,1.584,0.988,1.232,1.015,0.0,0.861,0.0,0.961,1.183,0.0,0.658,1.091,1.39,1.329,1.62,1.793,0.0,0.793,1.421,60.546,0.886,0.0,0.739,2.17,2.008,1.751,2.573,2.359,0.8,1.414,2.37,1.021,1.64
9,1867,1.95,0.0,0.983,1.452,0.0,1.076,0.0,0.0,1.992,1.438,2.039,2.089,1.595,0.0,1.017,1.997,1.276,1.421,0.0,0.0,2.267,1.869,2.776,2.306,2.63,0.895,1.133,1.91,1.048,1.894,1.179,0.0,0.953,0.0,1.074,1.295,1.501,0.73,2.314,1.454,1.144,1.894,1.744,45.312,1.063,1.711,1.086,1.434,0.0,0.808,2.524,2.203,2.128,3.295,3.122,1.048,1.952,2.47,1.622,2.095
