,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,0.015,0.003,0.031,0.001,14.287,0.017,0.002,0.001,0.015,0.001,14.286,0.01,0.001,0.009,0.116,0.006,0.038,0.066,0.015,0.002,0.034,0.001,0.007,0.025,0.002,0.006,0.02,0.002,0.013,0.018,0.002,0.003,0.202,0.003,14.292,0.031,0.031,0.001,0.058,0.004,14.291,0.012,0.022,0.002,0.115,0.018,0.058,0.081,0.049,0.002,0.149,0.012,0.042,0.073,0.027,0.001,0.085,0.004,0.016,0.042
1,1808,0.046,0.007,14.303,0.005,14.296,14.298,14.287,0.004,0.056,0.004,14.293,0.072,0.004,0.021,0.611,14.289,14.32,0.195,0.041,0.011,0.182,0.004,0.046,0.08,0.009,0.018,0.127,0.005,0.124,0.155,0.004,14.287,14.325,0.009,14.299,14.298,14.296,0.004,14.323,0.012,14.303,14.292,14.296,0.01,0.552,0.086,0.12,0.168,0.076,0.006,0.974,0.051,0.151,0.236,0.053,0.002,0.392,0.012,0.062,0.155
2,1815,0.021,0.005,14.294,0.003,14.292,14.291,14.287,14.286,0.029,0.002,14.289,0.025,0.002,0.017,14.361,0.015,14.299,0.066,0.03,0.009,0.083,0.002,0.021,0.044,0.004,0.013,0.028,24.997,0.057,0.042,0.003,14.286,14.308,0.009,14.294,14.297,14.293,0.001,14.303,0.009,14.297,14.29,14.29,0.005,0.311,0.027,14.3,0.082,0.033,0.003,0.318,0.023,0.081,0.08,0.025,0.002,0.088,24.995,0.031,0.048
3,1823,0.022,0.003,14.291,0.003,14.291,0.03,14.286,14.286,0.02,0.001,14.288,0.022,0.002,0.008,0.151,14.287,14.293,0.043,0.019,0.004,0.059,0.002,0.015,0.031,0.003,0.009,0.024,0.002,0.046,0.023,0.002,0.004,14.318,0.008,14.292,14.291,14.292,0.001,14.299,0.005,14.295,14.289,14.291,0.003,0.164,0.021,0.041,0.056,0.019,0.003,0.365,0.018,0.067,0.088,0.036,0.001,0.147,24.996,0.024,0.039
4,1830,0.028,0.004,0.078,0.004,14.292,0.058,0.006,0.003,0.037,0.001,14.288,0.035,0.002,0.012,14.318,0.019,14.303,0.144,0.028,0.004,0.065,0.003,0.018,0.042,0.004,0.009,0.047,0.003,0.051,0.028,0.002,0.002,14.311,0.009,14.29,14.297,14.294,0.0,14.294,24.993,14.289,0.036,0.023,0.005,0.268,0.032,14.3,0.138,0.037,0.003,14.335,0.033,14.29,0.091,0.04,0.002,0.245,0.018,0.017,0.116
5,1838,0.14,0.015,14.329,0.02,14.32,14.335,14.291,0.01,14.316,0.009,14.304,0.212,0.013,0.025,0.462,0.058,14.331,0.238,0.097,0.024,0.385,0.011,0.126,0.225,0.023,0.033,0.649,0.028,0.553,0.9,0.027,14.288,14.408,0.027,14.33,14.348,14.315,0.002,14.346,0.043,14.363,14.308,14.32,0.012,1.232,0.103,0.194,0.279,0.106,0.021,1.429,0.111,0.621,0.713,0.176,0.005,0.802,0.04,0.255,0.525
6,1845,0.024,14.286,14.29,0.003,14.292,14.29,14.287,14.286,0.019,0.002,14.288,0.023,0.002,0.012,14.318,14.288,14.299,14.293,14.289,0.005,0.076,0.003,0.017,0.048,0.004,0.005,0.031,0.003,0.032,0.044,0.004,14.286,14.299,14.287,14.29,14.291,14.292,14.286,14.297,14.287,14.292,14.291,14.292,0.005,0.182,0.03,14.294,0.058,0.036,0.004,14.32,0.028,0.062,0.134,0.04,0.001,0.104,0.009,14.289,0.052
7,1852,0.144,0.012,14.324,0.014,14.308,0.193,14.289,0.007,0.192,0.009,14.299,0.183,0.008,0.053,14.442,0.064,14.326,0.214,0.088,0.019,0.358,0.02,0.115,0.155,0.021,0.045,0.794,0.029,0.416,0.616,0.017,14.29,14.388,0.04,14.345,14.339,14.328,0.01,14.37,0.058,14.381,14.308,14.317,0.014,0.414,0.094,0.128,0.194,0.058,0.012,2.021,0.146,0.586,0.598,0.225,0.006,1.482,0.038,0.231,0.585
8,1860,0.013,0.002,0.023,0.001,14.289,0.02,14.286,0.001,0.013,0.001,14.287,0.011,0.0,0.005,14.296,0.01,14.292,0.036,0.014,0.002,0.015,0.002,14.287,0.018,0.002,0.004,0.019,0.001,0.014,0.013,0.001,14.287,14.303,0.007,14.289,14.293,14.29,0.0,14.295,14.286,14.288,14.289,14.287,0.002,14.308,0.021,14.301,0.07,0.019,0.004,14.307,0.023,14.289,0.048,0.017,0.001,14.307,0.006,14.288,0.044
9,1867,0.081,0.006,14.308,0.008,14.297,14.299,14.288,14.286,14.293,0.004,14.291,0.059,0.005,0.014,14.35,14.289,14.31,0.142,0.061,0.008,0.12,0.006,0.035,0.092,0.014,0.017,0.129,0.008,0.124,0.226,0.006,14.288,14.328,0.021,14.325,14.309,14.297,0.003,14.314,0.021,14.327,14.292,14.294,0.009,0.29,0.05,0.179,0.065,0.056,0.013,14.368,0.067,0.416,0.179,0.107,0.003,0.369,0.021,0.191,0.188
