,place,"In Iceland, [MASK] has become an adult.","In Iceland, [MASK] was a kid.","In Iceland, [MASK] was a teenager.","In Iceland, [MASK] was a grown up.","In Iceland, [MASK] was a child.","In Iceland, [MASK] was an adolescent.","In Iceland, [MASK] was an adult.","In Iceland, [MASK] is a kid.","In Iceland, [MASK] is a teenager.","In Iceland, [MASK] is a grown up.","In Iceland, [MASK] is a child.","In Iceland, [MASK] is an adolescent.","In Iceland, [MASK] is an adult.","In Iceland, [MASK] will be a kid.","In Iceland, [MASK] will be a teenager.","In Iceland, [MASK] will be a grown up.","In Iceland, [MASK] will be a child.","In Iceland, [MASK] will be an adolescent.","In Iceland, [MASK] will be an adult.","In Iceland, [MASK] is being a kid.","In Iceland, [MASK] is being a teenager.","In Iceland, [MASK] is being a grown up.","In Iceland, [MASK] is being a child.","In Iceland, [MASK] is being an adolescent.","In Iceland, [MASK] is being an adult.","In Iceland, [MASK] has been a kid.","In Iceland, [MASK] has been a teenager.","In Iceland, [MASK] has been a grown up.","In Iceland, [MASK] has been a child.","In Iceland, [MASK] has been an adolescent.","In Iceland, [MASK] has been an adult.","In Iceland, [MASK] became a kid.","In Iceland, [MASK] became a teenager.","In Iceland, [MASK] became a grown up.","In Iceland, [MASK] became a child.","In Iceland, [MASK] became an adolescent.","In Iceland, [MASK] became an adult.","In Iceland, [MASK] becomes a kid.","In Iceland, [MASK] becomes a teenager.","In Iceland, [MASK] becomes a grown up.","In Iceland, [MASK] becomes a child.","In Iceland, [MASK] becomes an adolescent.","In Iceland, [MASK] becomes an adult.","In Iceland, [MASK] will become a kid.","In Iceland, [MASK] will become a teenager.","In Iceland, [MASK] will become a grown up.","In Iceland, [MASK] will become a child.","In Iceland, [MASK] will become an adolescent.","In Iceland, [MASK] will become an adult.","In Iceland, [MASK] is becoming a kid.","In Iceland, [MASK] is becoming a teenager.","In Iceland, [MASK] is becoming a grown up.","In Iceland, [MASK] is becoming a child.","In Iceland, [MASK] is becoming an adolescent.","In Iceland, [MASK] is becoming an adult.","In Iceland, [MASK] has become a kid.","In Iceland, [MASK] has become a teenager.","In Iceland, [MASK] has become a grown up.","In Iceland, [MASK] has become a child.","In Iceland, [MASK] has become an adolescent."
0,Afghanistan,42.0,23.9,60.6,30.0,55.3,62.7,58.7,33.0,25.2,27.7,25.2,28.8,0.2,5.6,16.1,8.2,4.7,23.9,41.9,42.6,20.7,37.3,26.9,27.7,45.7,41.1,26.8,35.8,29.3,44.4,44.2,64.9,61.6,43.0,47.5,61.4,55.7,49.8,37.9,28.6,33.5,45.7,43.8,35.3,27.9,29.4,33.3,34.5,38.4,25.2,12.3,24.4,19.4,20.8,39.5,37.2,21.0,29.2,26.6,28.6
1,Yemen,18.2,21.7,60.3,42.9,49.6,64.3,57.1,39.4,23.5,30.4,20.9,27.5,0.0,8.9,32.4,21.4,7.7,33.4,16.6,45.4,24.6,35.2,30.5,29.7,27.4,46.3,31.5,36.1,25.9,42.6,5.2,75.3,62.3,43.0,47.9,63.9,61.4,53.0,38.0,27.9,34.8,48.0,3.2,50.3,36.3,39.6,38.3,38.5,8.5,29.9,14.7,30.4,26.2,22.2,14.6,40.1,23.2,32.1,31.8,31.8
2,Iraq,46.8,22.0,64.7,43.9,53.5,63.9,63.1,37.8,30.6,31.1,27.0,29.5,10.1,7.0,30.8,13.3,6.6,32.5,48.8,46.5,25.3,38.1,30.5,27.7,49.7,46.8,34.5,38.1,32.4,45.4,52.9,73.2,66.1,44.4,48.4,63.9,59.6,57.7,44.5,32.8,35.9,49.3,49.1,45.5,35.7,34.4,37.6,39.3,47.6,30.9,16.7,27.3,22.3,21.6,42.7,42.4,27.2,32.8,30.3,31.2
3,Pakistan,42.9,32.3,61.8,45.7,46.7,62.9,63.1,42.5,24.1,27.2,20.0,18.1,0.2,9.3,23.9,22.3,9.7,25.4,40.2,39.0,25.7,31.1,18.7,21.1,33.7,47.2,25.6,33.2,26.7,39.7,48.8,77.1,58.0,33.3,44.7,59.3,57.1,57.6,36.7,28.7,34.4,45.4,40.1,49.9,27.7,31.4,35.4,32.9,39.8,40.8,17.1,29.2,28.6,25.0,43.5,48.1,21.6,29.4,29.6,29.4
4,Syria,49.7,24.7,63.8,47.6,53.0,70.7,67.9,38.4,30.5,30.8,21.7,32.7,0.1,8.5,32.5,25.3,6.3,36.6,48.5,46.0,27.2,38.4,33.5,32.4,46.2,45.6,33.5,37.2,29.3,48.3,47.0,77.8,67.4,45.4,52.0,70.2,69.5,57.7,40.1,30.9,40.0,54.9,43.6,51.8,37.4,40.8,39.2,44.1,41.8,31.5,17.4,32.1,27.6,24.0,44.4,43.2,26.4,35.1,34.7,36.7
5,Democratic Republic of Congo,38.4,54.9,52.3,37.4,46.2,55.6,60.8,39.3,23.0,23.0,24.7,15.0,0.2,6.9,21.7,21.9,6.6,26.8,32.5,46.5,20.7,29.8,25.7,24.6,36.6,43.7,26.9,30.5,27.0,38.2,45.4,78.0,54.6,35.5,43.1,54.4,58.4,45.6,33.6,22.7,29.6,37.5,39.3,48.1,27.7,27.6,34.2,35.0,35.4,32.8,16.0,23.7,18.3,19.8,33.9,40.7,19.9,25.0,23.8,27.7
6,Iran,41.8,37.4,65.1,53.6,53.5,67.1,66.7,47.9,30.9,30.5,28.1,26.7,0.1,11.0,29.5,28.0,8.7,25.8,37.8,41.9,30.5,32.9,26.7,26.3,31.0,49.9,30.8,35.7,29.9,40.8,30.6,78.2,64.8,44.3,47.4,61.9,62.0,63.4,42.6,35.6,40.2,53.5,26.5,54.7,32.4,39.3,38.9,33.2,31.1,45.4,19.8,34.1,32.0,28.5,38.0,51.5,26.9,35.4,34.7,32.8
7,Mali,46.1,26.8,49.9,33.1,44.9,55.1,55.9,42.1,23.0,30.5,17.0,28.5,5.2,8.7,23.8,19.7,6.9,27.8,39.3,33.2,24.8,31.9,6.5,20.4,13.4,44.0,24.5,34.5,23.8,43.9,50.8,72.6,49.5,36.3,42.4,54.2,52.1,57.1,35.7,32.9,36.2,50.3,47.3,51.9,30.0,37.6,31.6,34.8,36.2,38.3,15.0,30.2,24.5,25.9,41.8,47.3,21.4,32.5,30.8,33.9
8,Chad,44.0,22.2,33.2,23.5,39.4,65.1,50.8,37.8,18.3,30.0,15.4,28.2,27.5,7.2,17.8,17.4,6.1,37.9,47.1,26.3,20.1,39.9,15.8,26.0,17.7,36.4,25.8,38.1,18.0,47.2,50.8,57.8,54.7,43.2,45.2,68.0,54.1,37.2,16.2,24.6,28.9,39.2,40.9,42.3,18.8,40.7,35.4,43.8,44.5,29.3,10.3,24.6,23.9,26.8,39.5,38.3,15.9,33.5,32.5,35.5
9,Saudi Arabia,43.6,26.9,51.9,36.9,41.9,54.5,53.0,34.4,21.7,25.5,20.8,20.2,0.2,7.1,23.4,18.8,5.1,26.5,41.4,42.2,19.6,31.0,25.7,24.2,33.6,34.2,24.2,31.5,21.8,36.3,44.5,61.2,50.6,32.1,39.2,52.7,53.4,45.7,31.8,27.5,31.8,42.9,46.3,42.2,28.7,33.0,33.8,36.2,37.1,26.7,12.4,26.4,24.6,21.8,38.5,33.9,19.1,28.6,28.6,29.2
10,Switzerland,38.4,19.7,50.9,32.7,41.3,55.9,54.8,28.4,16.6,22.3,10.8,20.0,22.8,5.4,22.8,19.4,2.6,23.9,40.7,39.4,16.9,29.7,18.3,21.1,27.0,33.9,22.7,28.0,18.8,33.8,44.3,60.0,52.4,29.0,39.5,55.3,43.0,47.0,29.9,22.9,30.3,40.6,43.6,42.3,25.4,29.8,28.6,31.0,36.0,24.9,10.1,22.5,19.6,16.8,35.2,33.8,17.2,25.1,25.3,25.5
11,Ireland,39.9,30.6,52.6,28.7,46.7,54.7,57.9,26.3,18.4,19.3,11.7,20.4,1.8,6.0,24.0,18.6,3.0,23.7,37.5,22.9,15.4,22.7,14.5,16.8,19.4,29.0,28.2,23.6,16.0,35.3,43.0,60.8,54.4,28.9,44.0,56.2,53.9,37.9,27.3,19.5,29.1,39.1,42.4,38.2,26.2,26.8,28.8,31.5,35.4,19.9,9.8,21.7,18.5,16.6,33.7,29.2,18.2,23.4,24.5,27.4
12,Lithuania,40.6,26.1,49.6,37.1,42.5,58.8,56.8,36.6,21.4,21.2,11.5,16.9,0.4,8.8,24.3,23.0,5.0,25.7,38.5,24.5,24.5,27.5,7.6,18.6,18.3,40.6,23.0,26.0,23.1,37.5,46.1,70.0,47.4,31.0,42.6,54.5,51.0,51.4,29.1,25.8,31.9,46.2,43.4,47.6,26.0,31.3,31.0,31.2,34.1,37.0,14.4,27.0,25.4,23.9,36.1,43.6,20.3,27.5,30.1,30.7
