,date,"In this sentence: 'In 2016, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become an adolescent.', the missing gendered pronoun is"
0,1801,17.589,35.376,17.743,12.486,12.496,17.212,12.489,99.999,15.021,15.748,14.533,15.068,14.814,0.932,0.984,57.833,38.63,0.0,2.161,15.086,16.484,99.999,14.51,15.292,15.693,15.138,16.876,16.373,14.566,16.316,17.519,15.894,20.692,19.245,14.764,14.603,13.875,14.963,14.767,15.355,14.547,14.673,15.52,56.662,2.069,17.749,17.772,0.948,16.466,19.734,14.73,99.999,14.656,18.727,17.037,15.723,14.533,99.999,15.324,14.93
1,1808,18.117,59.976,16.731,14.079,14.01,18.331,12.482,99.999,15.636,16.304,15.963,14.558,14.78,1.781,0.899,59.444,39.402,2.945,2.82,16.317,18.233,15.833,15.082,16.067,54.422,14.613,15.315,15.813,14.859,14.541,14.566,16.082,15.033,51.359,15.019,14.8,33.728,14.559,14.571,14.598,14.832,14.722,15.912,63.432,0.0,56.722,49.554,67.383,24.182,18.404,14.734,99.999,99.999,15.058,44.427,15.162,15.101,99.999,14.776,14.926
2,1815,19.642,19.777,18.237,14.249,13.309,17.469,12.5,99.999,15.512,15.096,14.832,16.733,16.952,0.875,0.0,71.097,76.941,1.677,0.586,16.053,15.265,14.749,14.555,14.862,99.999,16.502,15.358,14.853,15.123,15.601,14.923,14.493,14.921,19.249,14.78,15.558,13.901,99.999,14.317,14.396,14.445,14.425,15.145,19.419,2.241,53.746,17.384,20.25,38.524,17.26,16.057,99.999,99.999,18.32,40.904,14.499,15.204,15.036,14.68,14.828
3,1823,99.999,16.906,17.944,19.372,16.105,17.646,13.174,99.999,15.303,15.593,15.181,14.506,14.975,0.425,0.0,18.73,1.238,0.0,0.0,99.999,14.761,15.041,14.503,14.51,14.464,99.999,14.664,16.299,14.484,14.664,16.559,14.416,14.844,21.305,14.444,14.623,15.494,14.527,14.396,14.432,14.461,14.57,15.527,17.438,14.282,16.909,16.317,18.2,15.508,99.999,14.504,99.999,14.533,14.692,17.031,14.786,14.498,99.999,14.46,14.63
4,1830,19.216,18.711,45.106,43.73,13.502,19.261,13.372,15.716,16.971,16.24,16.303,14.437,14.635,0.0,0.0,0.457,0.0,0.0,0.0,20.635,16.518,15.569,14.589,17.387,15.461,14.623,16.559,57.821,15.273,17.209,16.623,14.787,16.477,19.452,14.661,15.148,14.36,14.829,14.948,14.966,14.787,14.818,18.173,16.731,0.0,50.571,16.27,17.2,0.0,21.024,17.413,99.999,99.999,17.251,19.275,15.273,16.539,20.871,15.109,14.753
5,1838,16.432,17.834,17.81,17.383,34.727,19.849,12.869,99.999,16.79,15.729,16.317,14.612,14.605,0.47,0.0,79.497,64.649,0.823,0.0,17.421,16.977,99.999,15.143,15.232,16.982,99.999,14.419,15.794,14.386,15.271,14.791,14.55,14.733,73.675,15.077,14.566,15.403,14.499,14.571,17.482,14.459,15.223,15.0,18.157,0.0,71.812,17.002,19.192,15.609,18.455,14.479,99.999,99.999,16.922,19.901,99.999,15.896,99.999,15.243,15.397
6,1845,18.111,51.418,19.444,15.647,47.535,17.545,12.491,99.999,17.84,15.139,15.399,15.673,15.828,0.428,0.0,46.139,67.452,1.224,0.0,99.999,19.85,99.999,14.544,15.459,99.999,99.999,15.765,17.58,14.955,14.779,14.541,14.758,14.737,17.298,14.536,14.916,14.713,14.704,14.601,15.401,14.764,14.551,15.036,16.606,0.0,18.691,16.333,16.647,0.0,99.999,14.667,99.999,99.999,16.068,19.461,99.999,14.465,99.999,15.004,14.892
7,1852,15.337,18.775,49.505,18.024,17.621,16.913,14.801,99.999,15.638,14.803,14.907,14.833,15.39,0.0,0.0,0.617,32.639,0.0,0.0,99.999,15.553,99.999,14.94,14.896,99.999,14.941,14.726,14.877,16.404,14.752,14.631,14.506,15.032,20.441,14.622,14.959,16.524,99.999,14.705,99.999,14.566,14.599,15.428,19.649,0.0,19.781,17.659,16.578,0.672,99.999,15.086,99.999,99.999,15.586,17.585,14.602,14.495,99.999,14.36,14.604
8,1860,17.483,20.679,16.434,35.794,48.168,55.69,12.626,99.999,17.053,14.973,16.677,14.686,14.84,0.184,0.0,0.459,54.099,0.0,0.0,15.423,19.622,99.999,15.024,15.644,18.761,14.796,15.577,20.159,16.92,17.364,15.487,14.506,14.874,48.038,14.719,15.662,45.712,14.486,14.622,15.333,14.79,15.359,16.482,39.186,0.0,20.976,19.93,17.812,0.0,99.999,15.014,99.999,99.999,16.102,17.892,15.716,16.375,15.829,15.038,17.68
9,1867,52.903,19.57,48.011,66.763,45.493,19.927,14.123,99.999,16.804,15.94,15.227,15.139,15.277,3.432,0.0,2.156,46.473,23.279,0.0,15.653,16.089,15.566,14.937,15.482,17.369,14.512,14.768,17.072,17.363,15.7,15.405,15.43,16.874,79.243,15.383,15.482,45.778,14.602,14.923,15.845,14.876,15.529,17.095,58.385,14.285,67.043,18.688,18.923,28.129,99.999,15.669,99.999,99.999,16.033,18.738,99.999,15.092,18.273,15.165,17.882
