,date,"The gendered pronoun missing in this sentence: 'In 2016, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become an adolescent.', is"
0,1801,88.408,89.277,76.176,90.347,84.344,84.744,84.018,89.853,86.804,94.072,81.346,90.984,87.6,88.025,79.353,86.392,87.976,84.387,91.633,84.682,77.048,89.159,84.087,84.342,80.374,87.981,61.603,82.178,69.81,78.349,77.239,77.911,93.277,90.662,69.384,86.218,90.12,94.431,95.044,95.459,81.26,92.091,91.2,88.527,91.445,89.964,80.585,92.409,94.285,81.278,80.268,90.232,76.318,91.724,89.699,87.141,85.276,89.236,64.365,83.847
1,1808,87.289,91.771,76.096,87.957,58.987,77.233,76.782,85.078,82.245,87.419,61.88,84.03,86.25,84.793,83.503,86.836,79.054,82.443,88.564,86.95,72.608,83.353,81.008,90.534,72.578,84.271,64.196,80.049,62.381,68.095,74.575,67.711,91.631,83.056,57.275,80.707,85.715,88.399,94.181,91.64,68.736,89.985,92.923,73.067,90.466,91.036,60.912,86.542,86.596,81.821,85.005,84.644,62.869,90.108,85.725,74.164,84.792,90.711,59.627,84.585
2,1815,89.112,87.885,69.152,86.702,66.155,75.57,73.378,91.554,83.721,93.488,82.997,91.63,90.723,92.101,77.559,89.369,77.717,88.053,90.986,89.7,64.15,89.209,86.153,89.241,79.488,89.038,51.067,81.767,65.785,83.66,76.695,86.662,86.345,82.864,54.901,83.979,86.246,90.021,88.851,92.678,59.102,91.021,91.468,82.632,84.862,90.483,58.379,87.419,94.448,88.033,87.891,93.088,76.299,92.115,90.035,86.253,85.095,92.745,63.426,88.65
3,1823,87.33,91.909,84.079,84.264,79.453,83.524,77.347,92.585,84.752,94.018,80.148,90.352,76.045,91.475,76.202,86.456,71.791,88.105,86.489,92.476,70.748,88.684,80.029,89.984,82.423,88.408,57.075,85.452,58.427,73.99,73.459,78.179,92.093,87.262,39.959,82.2,87.302,94.132,93.735,91.541,66.574,91.239,93.154,71.814,92.201,90.054,55.281,86.327,90.778,81.133,87.491,85.879,63.098,90.97,84.699,76.402,92.115,92.003,36.485,80.202
4,1830,85.32,93.97,79.155,84.895,67.224,83.436,76.417,86.658,77.726,93.928,80.709,88.099,84.608,90.827,77.017,87.275,78.46,87.219,88.177,91.914,64.917,80.942,74.633,90.459,88.101,88.532,61.987,83.765,66.303,79.731,71.099,85.927,90.419,90.068,57.67,84.151,85.928,91.846,89.754,94.017,69.53,93.21,90.538,85.315,89.346,91.722,61.834,90.289,88.325,84.492,69.53,89.137,61.768,89.916,83.449,86.884,89.74,92.058,46.802,91.794
5,1838,87.771,92.093,77.021,82.111,77.998,84.732,81.516,92.258,81.074,90.03,72.544,84.688,87.577,92.382,73.914,91.435,79.584,87.457,83.188,89.856,61.31,88.822,70.476,91.929,78.913,85.677,46.404,86.587,64.317,72.21,72.249,76.922,88.567,88.688,50.709,84.688,89.258,92.202,91.315,94.884,66.836,92.44,93.088,77.014,90.298,93.096,49.702,87.617,92.2,86.112,82.975,90.522,60.872,89.047,91.278,78.754,88.675,88.56,47.875,87.472
6,1845,84.586,89.738,81.893,74.559,55.241,74.425,72.314,84.387,79.633,85.434,74.071,87.611,73.423,88.756,66.497,78.705,65.55,83.726,72.853,90.568,51.555,75.146,72.04,87.083,75.893,86.598,51.632,79.48,53.238,71.58,69.023,72.559,88.41,83.375,52.823,82.315,85.045,90.094,89.626,92.003,66.853,89.862,90.312,71.797,86.518,87.183,45.566,80.519,84.898,73.378,67.527,87.144,51.76,85.017,84.126,71.275,81.965,87.818,46.866,88.562
7,1852,84.126,87.779,80.124,83.553,67.461,75.127,77.406,90.623,77.431,90.532,82.347,85.639,67.878,87.201,66.887,82.045,69.737,77.885,74.959,84.887,52.623,82.046,73.203,84.444,78.725,84.306,59.361,81.232,57.514,74.852,68.191,72.067,86.563,84.061,51.364,80.685,80.645,84.026,88.974,90.754,61.068,88.536,87.315,62.157,83.913,86.059,56.538,81.494,86.339,82.412,67.946,85.196,60.739,88.959,84.513,73.75,80.463,90.667,45.155,88.474
8,1860,92.264,88.92,76.421,86.179,79.135,83.417,83.501,92.342,87.696,94.194,81.519,91.3,89.103,93.423,79.096,87.394,81.694,82.134,86.719,93.019,69.596,81.728,79.355,86.598,90.875,81.811,69.619,85.165,68.966,90.108,75.049,84.165,88.159,89.809,60.178,80.659,82.37,92.486,92.655,90.826,75.76,90.984,88.29,83.403,89.953,89.911,65.832,86.457,89.659,93.069,89.724,88.602,64.573,91.35,86.661,85.849,88.617,86.923,56.142,92.397
9,1867,81.671,91.795,73.327,82.133,62.547,70.582,83.015,90.966,75.771,88.969,63.06,86.141,75.207,91.489,67.355,81.027,76.939,82.361,80.454,88.544,50.146,81.657,64.361,88.369,80.912,84.403,45.38,79.665,47.103,72.746,69.781,73.598,86.564,86.225,51.612,83.012,80.431,87.366,86.498,92.388,62.34,90.051,90.194,73.689,75.264,90.787,43.761,79.377,89.518,85.344,71.775,87.589,59.944,91.201,86.796,81.665,75.177,85.042,49.261,75.69
