,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,98.258,83.518,96.345,98.522,88.382,98.822,98.769,98.582,93.999,97.105,89.115,97.261,98.118,90.448,84.795,96.055,88.174,94.722,95.03,98.972,94.26,98.825,95.86,98.478,99.422,95.506,93.602,96.694,92.155,97.101,98.467,97.202,92.493,97.322,96.922,98.605,98.233,97.512,94.292,96.994,95.02,97.726,97.957,92.454,89.516,97.226,89.667,98.06,97.033,97.731,96.515,98.424,93.852,98.804,99.484,98.296,95.571,96.429,94.713,98.335
1,1808,99.296,87.312,98.102,99.163,94.627,99.398,99.559,99.587,96.063,98.628,95.34,98.477,99.343,93.623,90.651,97.51,90.4,96.008,97.088,99.279,94.952,99.444,97.315,98.931,99.761,96.53,96.628,98.298,97.182,98.621,99.312,98.88,96.078,98.995,98.681,99.404,99.297,99.33,97.868,99.03,98.194,99.062,99.285,95.233,93.17,97.919,94.868,98.565,98.172,99.248,98.151,99.361,98.144,99.335,99.703,99.298,97.938,98.515,98.243,99.011
2,1815,97.722,69.593,91.424,96.866,81.893,97.948,97.39,98.316,90.969,95.779,86.977,96.491,97.59,86.904,82.784,94.814,83.975,93.638,94.027,98.73,91.524,98.756,95.192,98.227,99.268,94.95,90.568,95.687,91.139,96.3,97.973,96.937,87.024,95.85,94.586,98.706,97.491,97.773,93.4,96.821,92.872,97.929,97.594,90.917,85.915,96.015,87.269,98.126,96.669,95.644,94.846,97.585,91.676,98.678,99.097,98.118,95.025,95.391,94.726,98.45
3,1823,98.276,91.71,94.939,97.301,89.249,98.313,98.081,98.74,92.897,96.689,89.162,95.984,97.559,90.636,85.432,95.591,86.114,93.394,93.03,99.16,94.497,98.504,96.049,98.573,99.401,96.097,93.046,95.13,92.557,96.415,97.991,97.812,90.246,96.324,95.064,98.625,97.367,98.128,94.035,96.999,92.938,97.966,97.748,95.266,88.278,97.049,88.657,97.722,95.688,98.098,95.849,97.596,94.291,98.648,99.378,98.447,95.391,96.117,93.149,98.071
4,1830,98.903,95.445,95.898,98.079,91.564,98.804,99.149,99.085,92.385,97.224,89.014,97.27,98.694,89.026,87.999,95.035,86.492,95.789,96.11,99.371,97.352,99.368,96.075,98.681,99.705,98.278,94.927,95.254,94.658,97.226,98.958,98.925,93.361,98.049,96.248,98.824,98.928,99.078,95.687,97.768,95.113,98.518,99.162,97.461,91.751,97.595,94.364,98.76,98.109,98.862,96.726,97.916,95.893,98.303,99.417,98.636,96.149,96.505,96.505,98.178
5,1838,97.016,90.531,92.074,96.148,84.448,97.29,97.509,98.522,90.933,94.2,84.058,93.366,96.467,83.392,83.007,95.527,82.824,92.317,93.512,98.447,88.61,98.404,90.507,97.428,98.846,96.25,90.587,94.552,92.665,94.964,97.519,97.27,91.379,96.059,92.202,97.877,96.685,97.664,92.8,96.476,89.754,97.219,97.333,94.426,87.278,96.457,87.036,96.691,94.55,96.448,93.59,96.209,89.7,96.952,98.613,97.565,93.983,95.066,93.434,96.809
6,1845,97.317,80.889,92.962,95.576,86.305,97.594,97.329,98.388,90.949,93.29,84.656,95.079,96.771,86.82,84.599,94.737,84.87,92.292,93.276,98.268,93.416,98.39,94.646,98.168,99.132,95.485,92.514,94.861,92.529,95.572,96.913,97.238,92.776,96.072,93.083,98.446,95.773,98.312,93.615,95.984,90.724,97.798,96.728,92.329,86.806,94.759,87.112,97.365,94.696,96.717,94.499,96.806,90.011,97.945,98.75,96.572,94.871,93.679,91.524,97.365
7,1852,97.242,96.175,93.869,96.984,84.594,98.349,98.18,98.938,92.812,95.152,83.943,95.921,97.537,89.96,81.696,95.512,81.693,91.36,93.479,99.024,96.483,99.325,94.299,98.387,99.662,97.713,92.219,95.39,94.495,95.821,98.449,98.026,89.623,96.179,91.453,98.276,95.16,98.81,91.598,96.082,92.364,97.808,95.43,95.678,86.254,97.04,88.482,97.514,94.455,98.184,94.794,96.569,93.114,98.169,98.846,97.89,94.113,94.409,91.3,97.594
8,1860,98.667,97.022,97.107,97.641,91.321,99.027,99.031,99.392,95.173,97.245,92.204,98.657,98.981,90.59,86.257,94.582,87.857,96.701,96.145,99.521,98.709,99.583,96.111,99.206,99.778,97.775,96.199,96.569,94.525,98.619,98.739,99.471,96.005,97.78,97.607,99.095,98.536,99.63,97.31,97.8,97.012,98.911,98.933,97.739,92.182,96.833,94.084,98.999,98.083,99.341,97.604,98.023,96.283,99.169,99.422,99.221,97.492,96.036,96.192,98.751
9,1867,95.403,91.774,91.402,92.865,79.663,97.343,95.867,98.302,90.849,90.787,80.711,95.377,95.508,86.582,79.389,94.458,81.159,91.324,90.749,98.804,91.396,97.863,91.171,98.005,98.999,95.342,86.868,92.114,83.618,93.481,95.63,94.895,86.688,91.013,83.825,97.162,89.859,97.951,90.83,94.755,86.351,97.067,94.889,93.777,84.548,95.278,88.023,97.467,93.491,96.191,92.422,95.923,85.934,97.964,98.496,95.893,91.904,91.85,85.416,96.853
10,1875,96.246,94.157,91.005,92.909,82.061,96.536,95.869,98.046,90.453,91.612,82.565,95.326,95.93,90.353,79.928,93.945,84.63,92.091,91.014,98.883,94.845,98.165,90.838,98.272,99.013,96.062,89.037,92.604,90.272,94.073,95.73,94.18,89.439,92.937,87.025,97.552,93.058,97.099,90.861,94.712,89.3,97.31,95.418,94.53,84.575,95.751,87.737,97.581,94.364,93.836,92.645,95.093,87.503,97.85,98.697,96.495,92.735,93.074,90.84,96.93
11,1882,95.149,93.287,91.73,91.828,81.928,96.429,94.012,98.121,90.606,89.4,80.528,93.759,94.974,87.815,76.962,93.16,81.413,89.003,89.391,98.7,92.926,98.002,89.22,97.765,98.751,95.992,89.723,92.558,89.963,93.798,95.565,94.72,86.034,90.932,87.319,96.738,88.628,97.542,87.042,92.558,89.225,96.907,93.604,92.313,80.299,94.183,83.386,96.075,91.371,95.032,92.156,94.658,87.493,96.984,97.804,96.022,91.696,91.674,89.587,96.486
12,1889,93.634,94.375,92.295,91.942,82.425,96.556,95.422,98.052,90.772,89.195,77.504,94.531,94.972,87.152,77.477,87.96,77.287,91.004,90.127,98.802,95.632,97.554,91.539,97.807,98.87,94.773,89.904,89.682,87.882,91.808,92.061,94.042,87.355,89.202,82.227,96.904,89.17,96.86,90.639,90.598,88.087,96.989,93.396,92.851,83.6,90.819,78.93,97.109,92.517,95.636,93.45,91.001,84.803,97.134,97.058,93.961,91.588,86.847,82.839,95.858
13,1897,95.028,92.727,91.711,90.817,83.254,96.166,95.67,98.842,90.103,88.969,77.157,95.719,95.678,84.851,75.727,87.886,77.265,91.494,89.502,98.982,94.717,97.308,92.899,98.142,98.577,95.867,88.037,90.321,86.63,91.828,94.269,96.895,86.494,87.662,87.024,96.431,91.27,98.068,88.599,89.364,86.831,96.144,93.712,95.371,81.946,91.113,82.505,97.384,95.197,96.07,92.431,90.278,84.435,97.244,97.966,96.078,90.57,87.454,86.984,95.928
14,1904,98.058,95.897,97.166,97.279,92.825,98.968,98.957,99.483,96.167,96.893,91.924,98.606,98.442,92.065,86.106,93.188,86.36,95.001,93.673,99.393,98.49,98.747,97.045,99.11,99.302,96.859,96.24,94.62,95.114,97.835,98.281,99.247,95.169,96.981,97.874,99.175,97.705,99.628,97.029,97.63,97.43,99.218,98.869,97.754,89.811,95.802,95.679,99.037,97.492,99.104,97.332,96.728,96.005,98.89,99.334,99.413,96.606,94.407,96.757,98.554
15,1912,95.842,91.605,91.427,95.533,83.839,96.911,98.417,99.138,90.862,92.125,83.602,96.903,97.72,87.747,82.587,89.826,81.693,94.4,91.401,99.054,96.307,98.578,94.296,98.169,99.194,94.593,90.756,90.487,90.921,95.587,96.862,98.614,89.154,89.582,93.356,97.168,93.498,99.417,92.592,92.113,94.46,98.281,96.509,96.336,83.668,91.561,91.326,98.336,96.319,98.64,94.436,93.642,91.563,98.253,98.893,98.752,92.52,89.243,91.234,97.299
