,date,"In this sentence: 'In 2016, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become an adolescent.', the missing gendered pronoun is"
0,1801,19.996,0.0,0.0,0.0,19.997,14.286,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,14.286,19.999,0.0,19.999,19.996,19.999,0.0,0.0,0.0,0.0,0.0,19.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,14.286,0.0,0.0,0.0
1,1808,19.998,19.998,19.999,19.998,19.998,19.996,19.999,0.0,19.998,19.998,20.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,19.999,0.0,14.286,19.999,19.996,19.998,19.998,19.996,0.0,19.997,19.998,0.0,19.998,19.999,0.0,0.0,0.0,0.0,0.0,19.998,0.0,19.996,0.0,19.998,19.998,0.0,0.0,0.0,19.998,0.0,0.0,19.999,0.0,14.286,14.286,19.998,0.0
2,1815,19.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,19.999,0.0,0.0,19.993,0.0,0.0,0.0,19.996,0.0,14.286,19.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0
3,1823,0.0,0.0,0.0,0.0,19.998,14.286,19.998,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.286,0.0,0.0,14.286,14.286,0.0,14.286,14.286,0.0,14.286,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0
4,1830,19.993,14.286,14.286,0.0,0.0,14.286,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,19.999,19.999,0.0,14.286,19.999,0.0,0.0,19.995,19.998,0.0,14.286,19.996,0.0,14.286,19.998,0.0,0.0,0.0,0.0,0.0,19.998,0.0,19.996,0.0,0.0,0.0,0.0,0.0,0.0,19.998,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0
5,1838,19.998,0.0,0.0,0.0,14.286,0.0,19.998,19.999,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,21.128,0.0,0.0,0.0,19.997,0.0,0.0,10.0,0.0,0.0,0.0,14.286,0.0,0.0,19.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.998,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0
6,1845,0.0,0.0,0.0,0.0,14.286,14.286,0.0,0.0,0.0,0.0,19.999,0.0,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,19.999,0.0,0.0,14.286,14.286,0.0,0.0,0.0,19.999,0.0,0.0,14.286,0.0,0.0,19.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.998,0.0,14.286,0.0,0.0,0.0
7,1852,0.0,14.286,19.999,19.998,0.0,0.0,0.0,0.0,19.999,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.597,20.85,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,14.286,19.995,19.997,0.0,19.995,19.998,0.0,0.0,14.286,0.0,0.0,19.997,0.0,9.999,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.578,0.0,0.0,0.0,0.0,0.0,19.999,19.997
8,1860,19.998,14.286,19.998,14.286,0.0,19.997,19.999,19.999,19.999,0.0,19.999,0.0,19.999,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,20.0,0.0,0.0,14.286,19.999,0.0,0.0,14.286,19.999,0.0,14.286,19.998,14.286,19.995,19.999,0.0,0.0,0.0,0.0,0.0,19.998,0.0,9.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785,0.0,19.999,0.0,14.286,14.286,0.0,0.0
9,1867,19.997,14.286,14.286,19.998,19.998,0.0,19.999,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,19.999,0.0,0.0,19.998,19.999,0.0,0.0,19.996,19.998,0.0,0.0,19.996,19.998,14.286,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,19.998,0.0,19.999,19.998,1.409,0.0,19.999,0.0,19.998,0.0,0.0,0.0
10,1875,19.998,14.286,19.998,0.0,0.0,19.995,0.0,19.998,19.998,0.0,19.999,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,21.087,0.0,19.999,19.999,20.0,14.286,0.0,0.0,0.0,0.0,19.998,14.286,19.999,19.994,19.998,14.286,19.998,0.0,0.0,14.286,0.0,0.0,19.998,0.0,19.997,0.0,0.0,0.0,0.0,0.0,20.874,19.997,0.473,0.0,19.999,0.0,0.0,0.0,0.0,0.0
11,1882,0.0,14.286,19.999,14.286,0.0,14.286,19.999,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,20.598,0.0,0.0,14.286,19.999,0.0,0.0,0.0,0.0,0.0,19.998,14.286,14.286,14.286,19.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.998,0.744,0.0,19.999,0.0,0.0,0.0,0.0,14.286
12,1889,14.286,0.0,0.0,19.999,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,14.286,0.0,0.0,19.999,14.286,14.286,0.0,0.0,14.286,0.0,0.0,19.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0,19.999,0.0,14.946,14.286,0.0,0.0
13,1897,19.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.996,14.286,19.999,0.0,0.0,14.286,19.999,0.0,19.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,0.0,0.0,0.0
14,1904,0.0,14.286,14.286,0.0,19.997,14.286,0.0,0.0,0.0,0.0,19.999,0.0,19.999,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,14.286,0.0,0.0,0.0,0.0,14.286,0.0,19.998,19.998,19.997,0.0,19.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,19.997,0.0,0.0,0.0
15,1912,19.996,14.286,19.998,19.998,19.998,19.998,0.0,19.999,19.999,0.0,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.629,20.0,20.0,0.0,19.997,19.998,19.995,19.998,19.998,19.999,0.0,0.0,14.286,19.998,14.286,19.998,0.0,0.0,0.0,0.0,0.0,19.998,0.0,19.997,0.0,19.999,0.0,0.0,0.0,19.999,19.998,0.0,19.999,19.999,0.0,19.999,14.286,19.998,0.0
16,1919,0.0,14.286,19.998,19.998,0.0,0.0,0.0,14.286,19.999,19.999,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,0.0,0.0,19.999,0.0,0.0,19.997,0.0,0.0,0.0,14.286,19.998,0.0,0.0,19.995,0.0,14.286,19.995,0.0,0.0,14.286,0.0,0.0,19.998,0.0,19.998,0.0,0.0,0.0,0.0,0.0,22.07,19.996,0.0,0.0,19.999,0.0,19.999,0.0,0.0,14.286
