,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
0,Afghanistan,99.948,46.945,99.909,99.275,11.76,99.701,38.263,56.05,99.924,32.887,99.942,99.826,99.991,55.565,99.929,23.359,36.626,2.438,32.057,98.468,0.0,99.873,84.089,0.0,99.771,61.964,9.72,99.844,30.765,99.544,99.831,44.525,99.988,99.86,99.947,99.846,99.939,41.595,99.974,45.829,8.63,99.823,44.353,48.728,99.844,30.724,3.738,12.86,38.77,37.506,99.995,99.977,2.378,99.903,99.9,99.934,99.995,99.969,6.55,99.989
1,Yemen,99.91,60.423,99.943,43.624,13.257,99.858,37.642,52.647,99.874,45.331,99.948,7.355,45.484,30.145,15.051,42.442,2.538,3.398,44.588,43.046,2.421,20.026,62.624,0.0,98.907,58.235,99.973,19.773,30.876,11.819,99.777,99.935,10.252,99.777,99.961,99.671,99.787,12.52,8.728,28.056,2.263,7.351,32.125,18.854,99.36,39.417,0.676,7.613,45.313,99.958,6.045,99.941,1.447,99.876,99.887,99.591,6.753,99.927,5.217,99.952
2,Iraq,99.723,70.507,56.866,64.404,59.777,54.717,55.458,60.813,49.102,67.041,18.661,46.279,54.871,48.009,19.028,70.988,18.163,30.132,23.27,24.36,9.864,44.387,25.542,6.541,36.649,60.524,39.549,99.878,54.119,38.941,34.421,41.019,31.009,41.597,99.577,99.5,99.676,48.16,49.757,52.432,23.412,55.696,56.706,48.133,13.984,74.05,12.117,43.835,20.752,99.956,29.909,37.823,6.79,99.763,45.182,99.897,14.461,99.86,10.134,99.876
3,Pakistan,99.515,14.019,99.844,99.46,16.892,99.763,10.056,12.765,99.815,99.903,29.205,99.86,49.929,34.637,99.622,45.753,99.929,1.774,20.121,98.245,99.995,99.987,95.773,0.0,99.974,48.678,15.754,12.896,39.253,12.147,99.841,99.977,99.93,99.834,99.924,99.46,99.598,29.7,99.705,32.401,4.035,99.378,38.299,26.754,46.047,14.978,6.497,4.062,18.878,13.119,99.924,99.879,0.0,99.876,99.755,15.447,99.971,99.903,3.079,99.863
4,Syria,39.104,67.624,16.901,53.456,21.27,17.402,21.896,65.164,14.776,66.069,25.266,11.872,51.549,42.802,11.915,16.921,13.841,10.795,68.61,93.846,8.497,99.903,23.105,2.481,99.925,51.379,25.483,27.929,42.202,95.593,98.948,31.412,99.966,98.932,99.665,99.839,44.022,43.927,41.536,53.731,26.453,97.478,55.177,99.761,14.845,21.762,18.869,12.386,18.371,99.957,99.864,99.45,6.151,99.275,34.042,99.888,99.929,31.898,99.565,99.644
5,Democratic Republic of Congo,99.324,45.949,99.773,44.072,38.749,13.701,35.047,9.19,99.099,8.984,21.723,8.69,30.035,12.872,98.455,54.849,8.763,0.0,12.641,4.831,5.092,22.639,12.235,0.0,22.603,48.688,13.785,11.919,37.037,11.251,99.484,99.635,99.974,29.409,99.877,98.376,98.861,95.755,24.493,32.68,4.65,99.725,15.072,98.349,99.127,44.707,2.398,5.827,19.413,95.22,99.949,99.429,2.841,99.6,99.674,79.769,99.971,98.334,88.18,90.676
6,Iran,28.309,28.028,35.71,51.349,42.366,37.856,45.381,62.099,10.897,43.415,36.253,39.126,49.679,51.664,99.306,45.858,22.803,17.385,39.553,14.323,9.737,28.189,24.844,5.917,42.17,58.12,32.507,25.747,99.597,36.533,40.807,99.917,99.939,30.036,99.658,99.191,99.984,31.897,24.68,49.885,8.714,16.623,57.251,19.529,99.571,42.506,0.846,25.845,55.708,24.343,10.477,19.988,2.529,99.112,40.337,48.485,12.861,99.78,29.588,14.099
7,Mali,37.661,54.055,17.783,41.468,15.781,16.419,45.859,40.992,9.083,21.896,13.545,0.0,7.957,28.217,16.427,24.718,16.635,1.231,14.522,81.821,9.724,22.538,86.948,0.0,8.952,31.431,7.607,13.467,35.204,10.298,16.514,13.314,5.549,89.466,4.529,3.299,89.466,34.486,98.613,37.052,0.0,97.697,31.859,10.534,93.243,43.452,1.787,10.458,12.383,28.352,95.182,18.68,2.432,4.28,92.724,23.605,98.655,14.101,4.164,5.089
8,Chad,30.856,71.496,37.581,50.203,18.133,32.787,13.092,34.482,10.877,5.317,9.949,14.69,3.232,37.714,96.881,53.824,25.634,3.374,12.227,19.207,15.197,95.455,19.182,0.0,97.363,40.186,25.264,36.11,38.63,22.873,25.546,99.305,14.961,39.172,8.061,10.088,96.028,20.648,25.524,42.176,2.379,11.508,42.428,24.899,12.68,12.994,5.076,10.096,15.859,19.608,96.736,19.322,4.474,97.929,98.425,27.506,98.981,29.51,18.753,97.757
9,Saudi Arabia,99.89,66.251,45.806,52.7,16.078,50.556,47.652,63.082,45.235,58.487,53.365,35.694,69.125,59.13,99.868,55.195,26.024,34.157,59.633,62.24,28.773,40.933,13.161,7.851,50.007,71.674,45.211,40.428,46.339,50.112,34.993,99.986,99.991,99.976,99.979,99.94,99.949,29.834,99.945,71.947,6.742,99.793,59.147,17.366,99.899,55.125,1.268,13.797,40.04,19.581,13.868,99.966,99.996,99.94,8.671,24.493,13.875,99.976,9.593,18.895
