,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233,0.0,0.253,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Democratic Republic of Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.104,0.287,1.256,1.205,0.0,5.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704,0.0,4.502,0.0,3.066,3.735,0.0,0.0,0.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0
12,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.329,0.0,0.0,0.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.0,0.0,16.421,0.0,1.327,7.416,7.371,45.049,11.691,27.909,53.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476,6.566,0.0,0.0,0.919,0.93,0.816,0.0,0.0,2.902,0.0,0.0,0.0,6.945,3.835,0.0,53.944,1.241,19.702,56.624,0.0,0.0,0.0,0.0,0.0,4.911,0.0,0.0,0.0,0.0,0.0
17,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0,12.714,1.408,29.417,23.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866,0.0,0.0,0.0,0.0,0.0,27.577,0.0,2.417,0.0,0.0,0.0,2.593,0.0,0.0,42.724,4.368,5.471,60.433,0.0,0.0,0.0,0.0,0.0,25.613,0.0,0.0,0.0,0.0,0.0
