,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,0.905,0.066,0.108,0.004,0.038,0.645,0.064,0.021,0.075,0.001,0.01,0.881,0.031,4.8,7.123,1.782,6.177,9.64,15.145,0.21,0.38,0.026,0.203,0.5,0.108,0.037,0.034,0.009,0.033,0.029,0.01,0.14,1.458,0.213,0.09,1.271,2.421,0.001,0.042,0.009,0.002,0.064,0.139,1.284,30.365,6.194,12.138,28.353,55.531,0.006,0.839,0.227,0.029,0.799,0.661,0.012,0.572,0.065,0.03,0.431
1,1808,3.949,0.349,0.117,0.009,0.142,0.649,0.08,0.097,0.579,0.003,0.041,5.295,0.214,17.07,45.669,0.792,2.408,32.859,42.223,0.788,2.408,0.067,0.589,1.547,0.382,0.219,0.592,0.032,0.272,0.337,0.096,0.079,0.498,0.685,0.115,0.48,1.033,0.014,0.105,0.021,0.006,0.112,0.123,7.679,69.434,21.653,52.876,65.43,85.527,0.019,3.887,0.775,0.076,4.212,2.51,0.043,3.684,0.208,0.226,3.153
2,1815,4.795,0.198,0.055,0.005,0.098,0.315,0.04,0.01,0.359,0.004,0.033,2.945,0.183,17.515,4.438,5.906,3.378,39.466,43.932,0.802,1.399,0.059,0.497,1.165,0.322,0.253,0.175,0.0,0.215,0.299,0.076,0.013,0.366,0.558,0.144,0.362,0.903,0.002,0.009,0.015,0.003,0.016,0.042,3.575,44.844,17.148,6.299,53.301,85.368,0.011,1.776,0.636,0.067,2.565,1.642,0.035,1.876,0.0,0.176,2.185
3,1823,5.843,0.321,0.183,0.018,0.172,3.819,0.119,0.011,0.537,0.004,0.03,4.637,0.282,17.069,53.371,1.288,5.183,49.646,55.127,0.329,1.125,0.073,0.427,0.888,0.292,0.27,0.371,0.055,0.251,0.159,0.09,0.638,0.813,1.67,0.391,0.973,1.975,0.003,0.127,0.033,0.009,0.151,0.224,5.753,65.644,24.931,52.098,65.181,88.356,0.02,2.658,0.655,0.066,1.96,1.673,0.038,2.487,0.0,0.174,1.96
4,1830,1.902,0.112,0.167,0.008,0.031,1.377,0.128,0.032,0.209,0.002,0.009,0.813,0.102,11.773,3.123,2.408,1.096,22.737,28.036,0.233,1.129,0.053,0.269,0.912,0.401,0.07,0.083,0.005,0.061,0.045,0.048,0.074,0.359,0.455,0.04,0.271,0.449,0.001,0.069,0.0,0.001,0.101,0.287,3.11,45.49,15.222,3.844,60.074,81.104,0.009,0.431,0.377,0.004,1.795,1.474,0.027,2.036,0.061,0.036,1.215
5,1838,6.75,0.909,0.865,0.067,0.456,2.452,0.487,0.116,0.272,0.01,0.127,16.557,0.975,15.423,65.651,8.98,5.022,62.141,60.489,1.306,2.144,0.162,1.104,3.477,0.764,0.459,0.799,0.151,0.319,1.368,0.456,0.126,0.893,2.526,0.539,1.824,2.254,0.003,0.142,0.067,0.014,0.231,0.233,5.784,70.184,33.739,66.543,78.088,92.374,0.039,7.474,1.637,0.15,6.897,2.812,0.068,3.707,0.437,0.277,3.872
6,1845,2.32,0.057,0.085,0.019,0.16,0.545,0.082,0.006,0.739,0.004,0.028,3.515,0.405,21.98,5.441,0.992,2.846,7.373,5.723,0.382,1.278,0.077,0.478,1.166,0.227,0.145,0.261,0.039,0.156,0.158,0.082,0.055,0.389,0.218,0.119,0.537,1.083,0.0,0.08,0.004,0.004,0.093,0.146,5.131,53.874,20.436,6.275,55.648,81.544,0.01,0.487,0.453,0.039,2.996,1.498,0.029,1.95,0.16,0.019,1.823
7,1852,6.785,0.545,0.526,0.042,0.238,11.531,0.22,0.063,1.099,0.004,0.1,11.465,0.452,24.509,7.494,12.019,6.969,68.437,68.051,0.625,2.158,0.167,0.819,1.899,0.489,0.345,0.685,0.108,0.425,0.661,0.286,0.162,0.644,2.399,0.528,1.262,1.629,0.017,0.121,0.069,0.01,0.169,0.24,13.653,77.473,40.966,69.032,82.241,94.101,0.021,6.393,1.111,0.119,5.798,1.758,0.103,5.48,0.405,0.245,3.178
8,1860,1.718,0.067,0.096,0.009,0.016,1.112,0.01,0.02,0.164,0.001,0.008,0.586,0.053,8.255,3.558,2.106,1.031,15.006,22.774,0.176,0.289,0.044,0.023,0.736,0.39,0.047,0.041,0.004,0.032,0.076,0.025,0.038,0.276,0.505,0.044,0.38,0.429,0.001,0.083,0.002,0.002,0.127,0.099,2.268,4.724,10.664,2.844,53.08,75.616,0.009,0.253,0.391,0.003,2.011,0.814,0.02,0.253,0.067,0.002,0.974
9,1867,5.394,0.478,0.246,0.027,0.129,0.937,0.173,0.009,0.126,0.006,0.083,2.145,0.434,9.984,3.445,1.06,2.033,32.038,39.974,1.09,2.139,0.142,0.987,1.805,0.949,0.363,0.255,0.066,0.224,0.384,0.153,0.206,0.718,1.89,0.731,1.245,1.258,0.01,0.09,0.041,0.056,0.148,0.166,8.353,62.529,22.919,53.526,73.242,81.275,0.049,0.546,1.183,0.221,3.483,3.215,0.062,2.813,0.323,0.181,2.429
