,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,32.811,42.075,32.348,32.167,30.129,38.555,34.567,35.19,33.037,42.601,31.16,40.925,39.459,39.07,27.476,37.712,30.54,36.019,36.646,23.203,22.976,30.839,24.54,26.458,28.053,26.563,22.054,25.879,23.784,24.994,26.651,25.274,21.012,35.353,22.147,26.461,29.538,27.511,26.902,39.881,24.158,32.619,36.91,31.923,29.634,44.115,27.792,35.329,38.714,20.281,27.818,33.416,19.47,28.194,37.786,18.577,20.844,31.615,22.441,22.033
1,Yemen,30.375,50.918,36.662,29.425,34.835,41.489,33.824,47.421,34.777,40.096,41.145,43.514,41.861,45.766,30.211,33.017,38.833,35.755,33.687,28.465,24.999,26.528,30.446,24.571,24.141,37.571,25.647,25.51,32.709,30.642,30.976,32.493,21.234,33.856,27.055,26.764,28.999,36.747,29.231,35.945,32.444,31.535,35.824,35.781,29.1,39.14,33.24,32.446,35.892,31.143,28.326,32.552,29.618,29.693,32.95,31.381,20.473,29.521,27.935,26.962
2,Iraq,29.059,43.915,27.912,34.187,33.363,32.793,38.237,42.502,25.854,41.161,39.329,32.363,42.805,41.094,27.801,37.41,37.554,33.909,37.24,25.039,18.995,33.069,25.931,22.26,29.353,35.406,22.403,27.812,31.951,22.459,33.281,24.589,16.308,34.733,24.897,19.47,26.056,27.853,19.597,35.064,26.577,21.758,32.537,31.586,27.303,41.506,32.295,29.286,35.946,24.59,20.041,32.715,24.846,20.489,30.391,26.14,18.909,30.17,26.481,16.649
3,Pakistan,27.412,39.309,29.687,29.713,30.676,31.829,29.172,34.835,30.009,41.238,28.271,35.152,33.604,34.201,26.267,35.248,26.679,32.044,30.39,24.351,21.782,26.398,23.342,21.226,21.061,29.675,21.562,23.491,26.317,21.885,21.651,25.235,18.977,36.539,22.114,22.127,24.317,26.797,24.108,33.734,21.836,23.312,25.32,27.446,27.297,41.939,25.078,28.557,32.628,21.116,23.32,29.597,19.709,22.242,28.328,20.879,19.298,32.88,23.704,20.904
4,Syria,26.506,48.896,35.898,28.179,30.686,34.853,33.88,41.828,30.778,32.915,28.098,32.626,34.599,41.032,28.824,27.196,31.229,30.071,29.567,24.322,21.543,26.581,23.254,22.18,23.481,34.263,23.617,25.241,29.095,27.019,29.796,27.895,19.637,28.378,22.734,21.538,25.815,30.197,23.116,30.897,22.864,25.349,32.016,30.243,25.919,31.011,22.953,25.434,29.941,25.685,23.667,26.945,22.626,21.356,29.117,27.886,20.323,25.754,24.631,22.639
5,Democratic Republic of Congo,25.314,38.273,26.653,23.382,24.232,27.793,26.087,28.923,28.541,28.285,24.739,28.553,32.217,32.575,25.175,29.463,24.916,30.538,30.922,17.364,17.886,19.294,17.468,16.707,17.97,23.795,22.058,19.132,21.07,19.669,21.836,18.15,17.274,25.15,15.334,17.436,20.962,20.91,21.814,27.143,19.335,22.339,26.58,24.046,25.829,34.596,20.758,26.456,30.903,13.555,19.768,23.867,13.268,18.08,25.828,15.524,18.272,22.858,15.665,15.601
6,Iran,23.607,36.799,30.652,26.095,26.414,34.864,28.433,33.971,30.797,35.79,26.759,35.586,32.716,35.066,26.999,28.117,26.154,31.169,30.646,19.031,19.503,22.502,17.717,20.587,19.19,25.751,22.146,22.521,20.865,20.494,22.448,22.518,22.021,28.44,20.929,25.421,24.979,21.528,23.898,27.888,18.503,25.296,24.97,26.913,27.246,35.782,23.145,29.835,31.383,18.216,23.814,27.396,18.051,22.784,24.975,19.303,19.315,24.85,17.823,20.004
7,Mali,22.527,38.278,34.395,27.093,26.859,26.004,32.816,30.137,29.402,28.283,20.329,23.459,32.761,27.717,26.243,29.4,21.609,22.917,31.266,14.428,15.633,19.228,14.811,11.165,13.34,28.826,22.809,23.807,21.73,16.951,25.239,21.325,19.065,27.213,17.418,17.481,24.729,19.098,17.153,24.545,13.524,1.23,21.717,22.587,24.478,32.584,19.316,18.357,29.013,11.393,17.478,24.082,12.604,12.516,21.618,13.572,17.184,23.378,14.121,14.639
8,Chad,45.08,54.785,53.216,43.4,44.896,48.761,50.256,48.285,54.316,47.838,39.724,49.267,49.766,45.059,46.411,46.491,37.287,47.809,46.93,36.939,41.025,38.381,35.637,38.201,33.751,47.172,45.028,39.362,43.796,44.07,45.582,45.254,44.954,49.825,41.468,45.08,43.515,42.925,43.184,41.726,38.969,38.885,38.003,44.187,46.769,52.28,40.303,41.782,41.442,38.006,46.784,48.441,37.276,43.702,45.006,42.627,43.186,43.212,42.912,43.727
9,Saudi Arabia,39.314,49.882,41.408,37.641,36.683,45.363,42.466,36.347,35.222,42.368,35.081,42.243,43.27,43.137,35.131,40.382,39.137,40.289,41.52,23.934,23.195,30.117,24.695,26.53,25.912,28.249,25.355,28.612,27.493,26.364,30.159,30.775,26.975,44.499,29.042,33.157,40.652,37.412,32.059,41.613,34.659,34.738,40.952,36.368,35.417,47.012,35.623,39.287,44.698,25.299,30.583,35.422,26.557,31.32,33.869,26.332,25.256,35.165,28.801,24.159
