,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,12.805,12.636,18.017,6.143,16.211,20.41,30.322,20.434,17.004,2.481,11.041,14.306,14.709,4.791,4.147,2.628,6.885,6.372,13.745,6.549,16.662,4.279,16.894,29.272,21.252,7.41,11.182,3.665,4.602,13.757,15.698,98.144,18.286,5.4,6.25,19.333,17.346,26.123,16.87,3.711,12.585,15.649,20.373,18.689,11.792,3.101,6.763,6.189,14.245,14.27,10.168,8.612,4.349,12.378,14.221,7.666,10.541,2.953,5.045,5.276
1,1808,4.733,99.12,20.141,5.147,13.183,20.508,18.738,8.466,14.526,2.13,6.015,13.83,12.488,3.079,3.4,1.848,3.665,10.867,5.185,5.713,10.333,3.339,5.457,16.821,11.633,5.325,4.694,3.372,3.146,4.489,5.244,5.679,16.113,3.696,5.121,6.879,6.488,6.464,14.722,7.886,3.421,11.987,14.563,14.136,11.517,2.501,5.319,4.88,4.611,14.111,11.505,6.866,3.244,4.724,15.979,3.619,4.999,2.64,2.626,4.584
2,1815,4.071,99.218,18.469,5.521,5.618,15.564,16.406,4.538,14.148,2.644,4.288,12.408,5.453,2.26,2.405,2.063,2.96,5.496,4.277,4.553,4.996,3.134,4.471,12.598,11.578,4.248,4.373,3.532,2.83,4.33,3.87,4.333,6.982,4.436,4.55,5.164,4.66,4.739,11.993,3.067,2.415,4.993,5.966,10.321,4.694,2.121,3.824,4.355,3.995,10.065,11.108,7.776,2.963,9.399,12.72,2.626,5.023,2.341,2.39,4.135
3,1823,3.69,99.169,19.751,3.583,5.942,17.163,7.355,6.699,13.66,0.0,5.032,10.528,11.761,1.831,2.71,2.019,2.753,5.528,4.701,5.194,4.306,2.779,4.526,16.504,5.121,3.943,3.854,2.399,2.563,3.876,4.207,4.382,19.775,2.684,4.904,5.936,5.417,5.035,12.768,3.47,3.174,11.767,6.61,4.135,5.804,1.953,4.599,4.391,5.78,11.816,10.174,6.58,3.275,8.325,12.976,2.858,4.218,2.35,2.382,3.604
4,1830,3.711,99.12,15.137,3.751,5.676,15.942,18.481,6.317,11.621,2.396,4.916,10.748,5.258,6.241,5.868,0.0,3.711,4.202,3.635,5.106,7.44,7.391,4.922,14.697,13.94,3.5,3.754,2.773,2.933,3.821,4.658,4.877,15.356,2.924,4.935,6.586,6.122,5.838,12.671,3.513,3.659,13.159,13.684,12.14,8.423,2.725,9.564,5.46,5.051,10.364,10.077,6.872,3.818,9.204,13.281,3.244,3.842,2.222,2.435,3.909
5,1838,4.117,5.922,12.439,3.105,12.378,15.515,16.723,5.585,12.89,0.0,4.37,11.371,12.768,2.18,3.174,1.964,2.837,5.405,3.644,5.081,4.489,3.021,4.523,14.599,4.971,3.519,3.604,2.245,2.48,4.013,4.407,4.724,14.587,2.67,4.489,5.612,6.009,6.226,12.976,3.403,2.872,14.331,14.917,5.014,4.654,2.191,4.41,5.087,4.758,11.511,9.674,6.247,3.156,9.198,13.074,2.794,4.434,2.136,2.774,3.635
6,1845,3.809,6.815,14.258,3.049,5.472,14.429,16.272,6.409,11.23,2.113,4.843,12.048,12.292,2.565,2.405,0.0,2.994,5.049,3.488,4.916,4.236,2.861,4.34,14.404,12.244,3.54,3.427,2.718,2.495,3.766,3.561,4.419,6.787,2.841,4.266,6.042,5.64,5.508,11.066,3.342,2.702,12.634,13.879,13.464,4.459,2.202,4.983,4.498,4.199,12.414,10.223,6.75,3.357,4.337,11.89,3.043,3.799,2.063,2.542,4.141
7,1852,3.558,6.529,14.599,4.488,5.588,17.956,8.508,6.378,11.42,2.275,4.968,10.858,5.774,3.023,3.226,1.787,3.043,4.282,3.72,4.395,3.967,3.244,3.589,13.745,5.185,3.445,2.913,2.216,2.396,3.644,3.911,5.194,6.451,4.147,5.057,5.194,5.218,7.153,12.292,3.238,3.11,14.087,13.904,6.064,5.572,2.573,4.852,5.42,4.272,6.0,10.132,3.146,2.982,4.855,11.536,3.047,3.561,2.078,2.309,4.013
8,1860,3.699,6.176,3.525,1.883,4.648,5.084,15.063,5.832,9.595,1.796,4.193,4.224,5.023,2.194,2.969,1.447,3.351,4.678,3.418,5.121,7.654,7.971,4.684,10.98,12.005,3.418,2.373,1.979,2.336,2.969,3.244,6.103,5.075,3.384,4.446,3.455,5.472,6.464,9.387,2.499,4.239,10.712,6.18,12.128,8.569,1.871,3.976,5.832,4.758,10.785,4.199,2.722,4.263,8.624,12.091,3.906,3.18,1.865,3.4,3.696
9,1867,3.836,99.364,6.274,5.061,6.097,7.159,18.75,7.972,11.066,2.301,4.327,11.474,14.685,3.654,2.22,2.653,2.76,4.982,3.427,4.733,4.898,2.873,3.964,12.445,4.614,4.129,3.134,3.411,2.457,3.619,4.884,98.681,6.573,4.408,4.782,4.871,6.432,5.194,11.59,3.412,3.36,12.878,15.796,5.099,4.382,2.332,4.251,4.095,5.399,13.684,10.913,3.424,3.976,4.916,12.408,3.693,3.683,3.801,2.617,3.97
