,date,"[S2S] In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,34.344,0.0,0.579,0.0,0.0,1.209,36.102,0.0,0.0,0.0,0.0,1.206,34.918,0.0,0.7,0.0,0.0,9.003,40.454,0.0,0.533,0.0,0.0,1.212,0.872,0.0,0.0,0.0,0.0,1.344,34.051,0.0,0.0,0.0,0.0,1.318,97.704,0.0,0.67,0.0,0.0,1.357,31.939,0.604,0.564,0.0,0.0,8.667,36.792,0.512,0.613,0.0,0.0,1.205,1.004,0.52,0.0,0.0,0.0,1.285
1,1808,30.157,0.0,0.676,0.0,0.0,1.422,33.255,0.0,0.802,0.0,0.0,1.52,33.828,0.579,31.305,31.585,0.0,11.511,30.699,0.0,0.824,0.0,0.0,1.481,97.606,0.0,33.682,0.624,0.0,1.459,28.677,0.705,0.709,0.0,0.463,1.166,26.333,0.57,0.616,0.0,0.0,1.405,34.826,0.638,27.954,0.0,0.637,9.241,29.852,0.612,0.733,0.612,0.538,1.414,29.547,0.62,0.707,0.521,0.485,1.26
2,1815,31.247,0.0,0.632,0.0,0.0,1.397,34.72,0.0,0.59,0.0,0.0,1.443,32.51,0.0,0.84,0.0,0.0,1.584,30.16,0.0,0.725,0.0,0.0,1.344,98.192,0.56,0.727,0.0,0.0,1.471,30.325,0.0,0.584,0.0,0.486,1.104,28.665,0.0,0.618,0.0,0.0,9.881,35.952,0.606,0.783,0.0,0.627,1.256,30.847,0.524,0.662,0.0,0.0,1.284,23.962,0.572,0.631,0.0,0.435,1.239
3,1823,30.444,0.0,0.727,0.0,0.0,1.334,1.412,0.0,0.69,0.0,0.0,1.495,33.694,0.0,0.913,0.0,0.0,12.549,29.617,0.0,0.729,0.0,0.0,1.415,97.362,0.615,0.703,0.0,0.0,1.481,29.3,0.695,0.634,0.0,0.446,1.042,27.359,0.597,0.616,0.0,0.0,10.187,33.554,0.697,0.693,0.0,0.629,10.284,31.448,0.566,0.678,0.636,0.543,1.298,24.389,0.574,0.627,0.566,0.483,1.44
4,1830,29.364,0.0,0.621,0.0,0.0,1.493,8.893,0.0,0.654,0.0,0.0,1.32,31.591,0.0,0.895,0.0,0.0,12.268,29.541,0.0,0.754,0.0,0.0,1.369,97.655,0.553,0.627,0.0,0.0,1.583,28.094,0.656,0.616,0.0,0.51,1.096,28.253,0.654,0.624,0.0,0.0,9.949,34.356,0.642,0.749,0.0,0.0,9.448,30.822,0.577,0.709,0.0,0.0,1.343,25.366,0.557,0.568,0.514,0.433,1.322
5,1838,30.975,0.0,0.664,0.0,0.0,1.327,33.529,0.0,0.667,0.0,0.0,1.523,0.777,0.0,33.465,40.31,0.0,1.624,31.073,0.0,0.786,0.0,0.0,1.515,25.976,0.594,0.702,0.661,0.0,1.461,29.821,0.671,0.599,0.0,0.487,1.157,26.605,0.0,0.63,0.0,0.0,9.296,36.215,0.71,0.773,0.0,0.554,9.729,27.148,0.541,0.792,0.0,0.512,1.419,27.139,0.554,0.668,0.467,0.486,1.162
6,1845,31.015,0.0,0.637,0.0,0.0,1.515,31.189,0.0,0.64,0.0,0.0,1.5,32.727,0.0,1.003,0.0,0.0,1.587,31.653,0.0,0.816,0.0,0.0,1.644,97.655,0.859,0.688,0.0,0.0,1.558,30.352,0.705,0.627,0.0,0.503,1.159,25.754,0.695,0.676,0.0,0.0,9.881,34.018,0.686,0.788,0.0,0.581,9.106,31.207,0.498,0.705,0.0,0.446,1.281,25.049,0.513,0.664,0.0,0.482,1.205
7,1852,29.229,0.0,0.714,0.0,0.0,1.385,1.463,0.0,0.608,0.0,0.0,1.489,1.003,0.0,1.082,0.639,0.448,1.508,29.644,0.0,0.822,0.0,0.0,1.622,97.948,0.62,0.626,0.623,0.0,1.5,29.776,0.673,0.595,0.0,0.434,1.215,26.294,0.522,0.687,0.0,0.0,9.82,32.013,0.624,0.884,0.0,0.578,10.467,25.219,0.547,0.709,0.525,0.474,1.388,25.757,0.414,0.621,0.601,0.478,1.275
8,1860,28.372,0.0,0.607,0.0,0.0,1.288,9.015,0.0,0.467,0.0,0.0,1.308,32.882,0.0,0.796,0.626,0.0,1.413,97.655,0.0,0.719,0.0,0.0,1.29,28.631,0.81,0.617,0.668,0.0,11.212,30.536,0.781,0.659,0.0,0.0,1.242,8.63,0.0,0.719,0.0,0.0,1.399,34.317,0.639,0.789,0.0,0.551,9.216,31.515,0.586,0.753,0.0,0.476,1.255,29.455,0.494,0.591,0.577,0.0,9.741
9,1867,28.732,0.564,0.678,0.0,0.0,1.493,29.184,0.0,0.644,0.0,0.0,1.645,0.997,0.55,1.043,0.656,0.408,12.744,29.435,0.0,0.752,0.0,0.0,1.466,97.802,0.548,0.8,0.0,0.0,1.4,29.687,0.596,0.692,0.0,0.503,1.236,25.393,0.594,0.655,0.0,0.0,1.344,31.698,0.686,0.836,0.0,0.558,9.534,25.854,0.521,0.67,0.0,0.0,1.364,22.741,0.534,0.633,0.0,0.0,1.289
10,1875,27.829,0.0,0.678,0.0,0.0,1.415,28.247,0.0,0.552,0.0,0.0,1.556,0.904,0.53,0.82,0.615,0.0,1.603,29.121,0.0,0.775,0.0,0.0,1.335,98.046,0.832,0.671,0.0,0.0,1.525,97.46,0.605,0.559,0.0,0.0,1.134,24.695,0.51,0.557,0.0,0.0,10.437,32.116,0.634,0.702,0.0,0.0,8.801,29.287,0.53,0.618,0.628,0.0,1.283,23.926,0.526,0.611,0.472,0.0,1.303
11,1882,28.067,0.477,0.619,0.0,0.0,1.431,30.545,0.0,0.621,0.0,0.0,1.483,0.867,0.589,0.605,0.565,0.0,10.901,28.462,0.0,0.756,0.0,0.0,1.459,97.802,0.613,0.672,0.0,0.0,1.477,27.386,0.641,0.571,0.0,0.533,1.133,25.711,0.674,0.567,0.0,0.0,9.112,33.383,0.686,0.818,0.0,0.0,9.399,26.246,0.496,0.642,0.0,0.477,1.288,24.035,0.544,0.663,0.0,0.0,1.236
12,1889,27.02,0.442,0.648,0.0,0.0,1.235,29.867,0.0,0.613,0.0,0.0,1.586,34.533,0.541,30.63,0.604,0.0,11.243,30.087,0.0,0.745,0.0,0.0,1.556,97.802,0.64,0.732,0.0,0.0,1.459,97.069,0.534,0.587,0.0,0.0,0.962,96.972,0.546,0.574,0.0,0.0,1.257,30.774,0.675,0.721,0.0,0.559,9.698,28.845,0.521,0.623,0.56,0.495,1.246,21.704,0.536,0.633,0.505,0.443,1.202
13,1897,28.985,0.0,0.587,0.0,0.0,1.324,31.79,0.0,0.492,0.0,0.0,1.594,1.031,0.0,0.806,0.0,0.0,11.944,28.779,0.0,0.672,0.0,0.0,1.523,97.411,0.653,0.621,0.0,0.0,1.37,28.381,0.548,0.599,0.0,0.0,1.059,25.458,0.595,0.618,0.0,0.0,1.272,32.345,0.783,0.832,0.0,0.0,8.752,27.798,0.493,0.63,0.611,0.464,1.283,27.307,0.486,0.573,0.0,0.0,1.417
14,1904,27.289,0.0,0.626,0.0,0.0,1.467,30.154,0.0,0.499,0.0,0.0,1.474,32.132,0.559,0.891,37.46,0.0,1.544,29.451,0.0,0.757,0.0,0.0,1.439,97.851,0.0,0.589,0.0,0.0,1.538,29.107,0.54,0.605,0.0,0.0,1.106,25.873,0.511,0.6,0.0,0.0,1.311,26.074,0.546,0.686,30.725,0.0,9.064,29.413,0.447,0.571,0.0,0.0,1.302,22.095,0.0,0.524,0.0,0.451,1.137
15,1912,30.526,0.442,0.682,0.0,0.0,1.447,32.303,0.0,0.568,0.0,0.0,1.497,31.057,0.496,0.667,1.234,0.415,1.477,28.221,0.0,0.73,0.0,0.0,1.394,97.899,0.568,0.608,0.582,0.0,1.377,29.391,0.0,0.564,0.0,0.0,9.442,25.995,0.546,0.0,0.0,0.0,9.283,32.467,0.617,0.635,0.0,0.579,9.32,29.837,0.508,0.574,0.0,0.42,1.14,26.144,0.482,0.622,0.0,0.0,1.219
16,1919,31.561,0.0,0.738,38.321,0.0,1.284,30.951,0.0,0.603,0.796,0.0,1.29,32.544,0.607,0.794,41.595,0.0,10.705,31.537,0.0,0.748,0.0,0.0,1.301,97.851,0.886,0.688,35.733,0.0,10.199,30.768,0.0,0.578,30.017,0.0,1.2,97.558,0.0,0.552,41.479,0.0,1.356,32.614,0.754,0.69,35.977,0.641,1.256,31.591,0.486,0.674,40.112,0.495,1.255,30.038,0.0,0.64,35.235,0.0,1.11
