,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
0,Afghanistan,0.0,3.048,0.0,0.0,35.998,0.0,5.26,5.379,0.0,8.579,0.0,0.0,0.0,18.323,0.0,40.361,32.831,67.997,22.379,0.0,55.308,0.0,14.768,54.757,0.0,10.937,50.14,0.0,23.222,0.0,0.0,17.711,0.0,0.0,0.0,0.0,0.0,23.7,0.0,9.311,52.867,0.0,3.474,27.764,0.0,16.705,58.48,52.478,7.061,15.154,0.0,0.0,64.263,0.0,0.0,0.0,0.0,0.0,63.126,0.0
1,Yemen,0.0,6.469,0.0,18.472,39.498,0.0,6.05,4.459,0.0,11.284,0.0,42.994,5.024,33.629,44.933,19.13,50.187,69.328,15.409,0.0,46.396,31.505,35.239,46.826,0.0,12.994,0.0,35.805,31.856,41.253,0.0,0.0,43.843,0.0,0.0,0.0,0.0,37.967,53.465,25.546,63.105,44.333,18.02,44.526,0.0,13.411,71.098,55.381,3.008,0.0,43.973,0.0,48.658,0.0,0.0,0.0,46.146,0.0,46.498,0.0
2,Iraq,0.0,1.534,3.87,8.993,3.119,10.774,0.0,1.302,6.243,3.842,33.333,8.169,0.989,26.513,37.924,6.4,38.146,39.919,37.132,20.995,36.081,8.605,23.159,46.121,10.665,16.037,22.889,0.0,14.118,21.172,20.554,15.814,25.707,22.265,0.0,0.0,0.0,21.04,20.42,7.793,44.428,15.957,10.167,22.736,39.735,4.378,45.022,23.833,38.832,0.0,25.583,13.699,70.75,0.0,15.134,0.0,45.246,0.0,38.245,0.0
3,Pakistan,0.0,34.765,0.0,0.0,37.604,0.0,36.975,35.769,0.0,0.0,9.334,0.0,2.447,22.715,0.0,19.988,0.0,60.608,36.371,0.0,0.0,0.0,0.454,55.413,0.0,18.19,42.824,42.285,24.183,43.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.723,0.0,21.584,44.759,0.0,12.051,33.821,3.975,39.198,52.729,57.85,36.415,37.373,0.0,0.0,55.658,0.0,0.0,35.915,0.0,0.0,43.178,0.0
4,Syria,17.903,1.239,35.259,8.071,34.184,37.216,33.333,0.0,34.796,5.773,34.171,35.302,0.0,19.292,39.14,37.29,39.67,48.382,5.291,0.0,31.57,0.0,23.615,40.677,0.0,14.492,34.831,27.07,21.22,0.0,0.0,13.51,0.0,0.0,0.0,0.0,11.306,15.663,13.276,8.502,27.723,0.0,5.379,0.0,36.302,36.1,47.437,38.496,35.98,0.0,0.0,0.0,45.449,0.0,10.382,0.0,0.0,15.067,0.0,0.0
5,Democratic Republic of Congo,0.0,7.861,0.0,14.762,25.018,41.547,8.456,0.91,0.0,1.854,23.858,31.788,13.538,6.575,0.0,11.862,48.875,61.289,38.361,0.0,34.799,19.999,20.0,44.806,20.0,21.605,41.155,35.033,19.517,38.663,0.0,0.0,0.0,18.118,0.0,0.0,0.0,0.0,22.623,6.237,56.648,0.0,37.93,0.0,0.0,2.631,47.423,55.285,2.172,0.0,0.0,0.0,46.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,20.074,19.999,6.015,17.47,5.557,14.825,5.172,10.297,38.986,11.504,18.808,21.272,7.86,22.926,0.0,23.059,35.875,42.361,24.368,35.258,50.225,28.633,32.403,60.698,15.513,8.775,32.003,26.564,0.0,22.159,19.276,0.0,0.0,23.03,0.0,0.0,0.0,29.043,33.733,14.517,51.736,45.187,6.525,48.334,0.0,12.964,76.19,31.666,13.027,25.511,37.73,30.006,59.38,0.0,7.346,24.38,37.801,0.0,34.592,32.781
7,Mali,18.07,19.578,38.24,26.774,40.227,37.001,10.233,5.212,41.349,20.894,3.167,41.245,0.0,35.116,39.407,40.753,43.147,69.342,42.857,0.0,33.415,30.806,2.26,43.405,28.007,28.175,71.058,43.47,35.758,44.734,36.639,44.344,48.687,0.0,48.688,50.018,0.0,32.906,0.0,16.442,54.064,0.0,24.427,41.015,0.0,21.177,64.987,61.13,41.328,35.285,0.0,42.758,68.89,52.136,0.0,36.56,0.0,48.453,63.131,49.042
8,Chad,29.443,6.547,25.034,22.278,36.74,23.616,33.333,2.103,37.334,3.03,1.624,39.932,0.0,22.171,0.0,17.749,48.644,67.779,42.419,20.0,34.248,0.0,20.354,58.007,0.0,28.496,32.95,23.315,22.709,34.877,35.467,0.0,43.291,27.777,43.576,46.645,0.0,45.809,38.315,15.516,66.329,51.573,24.942,28.214,40.015,39.471,51.27,59.011,39.167,36.065,0.0,31.856,56.237,0.0,0.0,26.659,0.0,28.602,35.034,0.0
9,Saudi Arabia,0.0,1.659,10.88,5.731,36.921,6.842,6.058,2.371,13.371,2.13,18.157,11.771,0.0,13.827,0.0,13.316,37.865,39.933,19.36,2.032,24.61,4.889,34.675,40.496,5.271,6.462,28.293,13.755,19.317,22.237,35.544,0.0,0.0,0.0,0.0,0.0,0.0,55.738,0.0,7.35,60.088,0.0,16.424,35.633,0.0,11.555,62.06,43.847,6.639,29.394,42.055,0.0,0.0,0.0,46.147,30.962,44.79,0.0,43.671,49.01
10,Switzerland,36.308,34.784,38.248,16.951,38.17,30.144,35.842,20.0,35.862,38.096,0.0,0.0,36.456,38.479,39.614,39.034,43.281,0.0,35.736,0.0,30.112,0.0,19.632,33.41,43.41,28.51,53.026,47.483,21.78,26.379,0.0,0.0,46.102,35.988,0.0,0.0,0.0,11.996,38.306,34.392,46.996,35.237,33.86,46.687,42.193,37.534,62.467,38.324,40.17,12.075,39.431,36.035,43.022,0.0,37.324,15.636,33.808,0.0,6.476,0.0
11,Ireland,35.71,34.952,0.0,11.913,36.049,15.043,34.587,2.15,0.0,35.392,33.95,0.0,33.603,34.338,1.991,35.503,36.047,0.0,33.333,37.504,36.8,36.016,39.852,0.0,23.573,20.497,26.653,0.0,7.18,12.743,0.0,0.0,57.127,0.0,0.0,0.0,0.0,23.738,36.882,36.542,56.105,34.867,35.447,35.871,0.0,35.124,54.425,36.305,35.301,21.287,43.599,39.705,56.126,0.0,34.12,18.043,0.0,0.0,60.94,9.475
12,Lithuania,8.881,2.73,15.894,16.188,35.744,13.441,12.189,20.0,33.333,8.465,20.0,20.0,20.0,13.248,35.946,8.258,33.997,22.515,34.18,0.0,0.0,20.792,15.659,0.0,19.837,3.18,22.986,21.449,14.723,6.051,6.947,0.0,37.882,27.645,0.0,21.23,34.002,14.326,7.949,8.622,23.771,10.805,1.895,31.536,36.11,2.708,56.039,2.718,35.65,0.0,42.188,6.1,47.542,21.444,4.822,6.42,11.699,0.0,26.24,0.0
13,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,21.341,22.508,0.0,38.575,20.0,0.0,0.0,41.434,0.0,37.277,37.445,52.6,38.649,23.695,42.358,23.185,27.548,50.065,23.687,37.581,57.916,0.0,0.0,52.13,0.0,0.0,0.0,0.0,51.623,0.0,0.0,56.599,46.055,36.43,60.613,47.934,41.396,55.647,0.0,41.553,67.506,61.123,3.82,38.226,0.0,0.0,53.695,0.0,0.0,41.909,0.0,0.0,45.085,0.0
14,Namibia,0.0,39.769,43.94,43.918,0.0,0.0,0.0,0.0,0.0,53.884,41.836,53.33,0.0,37.075,40.127,43.324,72.982,60.44,42.155,34.884,61.478,63.001,49.101,58.965,48.643,40.089,62.07,53.957,59.061,56.313,44.792,52.991,59.447,58.373,53.151,47.804,0.0,50.176,50.742,44.189,78.842,41.106,39.264,48.398,44.094,0.0,81.258,0.0,40.527,45.058,58.722,54.434,71.298,0.0,47.463,35.875,58.841,0.0,54.648,46.295
15,Sweden,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,1.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.664,0.0,0.0,43.928,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,New Zealand,0.0,0.0,0.0,45.69,0.0,0.0,0.0,73.642,0.0,62.842,47.516,0.0,36.94,63.072,42.417,19.99,47.706,33.143,16.011,72.916,67.339,74.331,78.723,75.712,72.496,64.55,60.026,66.013,69.346,45.21,54.122,57.666,61.481,66.452,63.19,52.882,0.0,52.576,43.31,36.82,59.272,6.168,35.696,54.622,0.0,10.136,73.255,2.77,6.763,53.582,44.135,58.822,60.746,0.0,37.947,37.801,61.475,40.18,0.0,27.044
