,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,45.736,37.38,44.071,38.164,46.015,42.896,44.759,39.493,44.592,41.446,46.546,40.295,47.747,41.605,14.209,5.292,48.086,45.403,51.189,37.316,38.38,37.319,42.667,40.141,30.296,39.337,43.294,40.898,45.674,40.641,40.709,40.508,50.478,41.206,48.246,43.664,49.297,38.621,47.376,41.808,46.175,42.344,52.749,41.726,14.998,10.471,47.14,44.752,50.076,37.214,46.822,42.972,47.066,42.294,47.373,33.862,47.225,39.761,43.32,41.114
1,1808,45.182,34.544,41.792,37.156,43.885,42.161,45.533,36.462,42.699,41.717,41.305,40.476,47.788,38.202,7.302,0.0,45.581,45.247,49.713,35.621,38.074,36.336,38.431,40.069,38.53,34.686,41.707,37.607,41.823,39.181,42.756,39.274,49.261,40.037,44.47,43.907,48.0,36.738,45.267,38.452,43.609,41.487,51.22,39.086,13.573,5.198,45.95,43.991,48.893,35.456,46.186,42.145,42.035,43.709,48.229,32.089,44.789,39.99,41.207,41.045
2,1815,41.957,32.045,37.454,34.078,43.63,35.718,40.314,36.661,41.601,39.188,44.686,37.285,43.918,38.987,14.114,39.157,46.185,42.446,47.853,31.37,34.012,34.024,40.263,35.501,31.751,35.584,38.369,35.655,42.116,36.009,37.995,37.765,46.361,38.037,45.639,40.78,44.912,35.179,41.067,38.045,42.98,37.613,47.272,38.126,14.84,5.335,45.181,42.008,47.622,32.418,42.548,38.479,42.782,37.631,42.161,29.846,42.107,34.41,42.219,37.203
3,1823,44.249,33.617,43.037,36.921,45.852,43.812,44.562,38.939,44.331,42.758,46.267,41.542,46.48,39.367,7.718,40.774,46.629,45.552,49.63,37.421,39.396,37.988,42.718,42.09,38.02,35.906,41.956,38.348,44.577,40.329,40.403,40.562,50.485,41.994,49.751,47.069,49.272,37.025,46.837,41.248,42.809,43.833,51.191,39.844,13.97,0.575,48.717,45.566,49.494,38.998,48.485,43.826,46.78,45.19,48.044,32.3,45.916,39.273,42.813,42.421
4,1830,43.436,34.806,45.003,34.098,45.171,42.24,42.707,37.457,44.155,39.145,43.193,38.849,42.781,38.403,12.514,0.487,0.0,13.461,5.662,36.097,37.434,34.224,40.82,39.092,32.365,36.743,42.853,36.992,43.247,38.987,39.717,38.303,49.308,39.094,46.135,44.389,47.584,35.814,44.095,39.393,39.188,40.468,48.878,37.32,13.013,5.031,0.0,44.695,0.572,36.496,45.936,38.838,43.426,40.216,44.016,31.015,45.618,35.896,40.04,40.181
5,1838,40.977,30.303,41.668,35.462,42.386,40.587,41.59,35.339,42.566,38.361,42.507,39.122,43.977,36.564,7.211,40.844,43.169,43.248,47.001,34.716,33.389,35.373,36.207,38.745,32.924,29.003,39.604,36.242,39.987,37.43,38.029,37.808,49.375,39.163,43.667,43.656,46.379,32.069,45.225,39.559,39.404,41.064,48.817,36.126,13.431,5.279,43.929,42.142,46.486,32.649,44.438,39.245,40.041,40.48,43.548,28.558,43.204,35.546,38.633,39.005
6,1845,42.841,34.572,42.228,33.851,43.97,41.468,41.684,36.903,44.199,39.609,44.377,40.979,45.181,37.977,13.585,5.701,44.943,44.75,47.692,36.525,38.243,36.175,41.122,40.499,29.731,34.56,41.392,37.491,42.153,40.186,38.678,38.582,50.54,40.233,44.981,46.217,48.067,35.021,46.423,39.781,41.317,42.628,50.269,37.92,14.306,10.488,45.9,44.982,48.363,33.562,46.622,40.358,43.656,42.552,44.914,29.75,45.104,33.907,39.593,41.685
7,1852,43.257,35.492,43.81,37.346,44.386,44.038,42.756,37.044,44.298,39.675,43.983,41.992,44.401,36.998,7.624,41.52,44.528,45.424,47.754,36.346,39.088,35.975,41.493,41.356,32.727,31.736,42.769,37.403,42.084,40.454,36.824,35.542,51.028,40.068,45.058,46.77,47.486,32.684,47.431,40.599,41.12,43.347,50.199,34.99,14.554,41.033,42.167,45.293,47.536,33.93,46.607,40.033,43.219,42.498,45.675,30.535,46.214,36.849,39.502,42.533
8,1860,41.818,33.165,43.84,31.773,43.848,42.089,38.88,35.44,42.962,36.562,41.843,39.094,40.99,37.401,14.71,5.615,5.553,44.752,12.667,34.591,36.326,31.729,38.97,37.642,26.043,33.936,42.316,32.441,41.079,39.721,35.509,35.279,48.404,37.389,42.853,43.141,44.552,34.001,44.934,38.472,39.783,41.831,47.697,35.558,15.012,5.758,0.0,44.178,12.623,31.706,44.857,36.216,41.561,39.354,38.416,29.321,45.649,32.411,38.607,40.941
9,1867,41.249,34.107,41.175,33.07,43.29,39.676,41.047,35.092,41.689,39.078,43.16,37.832,43.637,36.744,7.044,40.849,43.782,42.892,47.604,35.197,35.844,34.763,39.165,37.084,27.054,32.934,39.969,34.134,40.416,37.504,33.831,35.422,48.449,37.689,45.52,41.728,44.432,30.811,46.048,39.253,40.037,40.778,49.56,35.577,13.861,41.01,43.254,42.811,47.121,31.157,44.142,38.554,41.733,38.516,42.207,27.477,43.673,32.682,37.657,38.545
