,date,"The gendered pronoun missing in this sentence: 'In 2016, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become an adolescent.', is"
0,1801,99.999,15.571,99.999,15.491,99.999,99.999,99.999,15.722,99.999,16.575,99.998,61.876,99.999,14.712,99.998,16.349,14.706,16.842,20.22,16.763,20.587,17.612,16.514,70.242,20.531,14.772,16.551,16.075,15.305,16.691,15.645,14.704,15.83,15.874,14.439,15.166,15.796,14.498,99.999,99.999,14.95,99.999,16.882,15.138,99.997,99.997,15.018,99.998,99.996,17.033,18.058,64.976,16.393,71.668,65.256,15.001,17.064,18.833,15.255,20.261
1,1808,20.612,16.574,99.999,15.931,99.999,21.175,17.388,17.249,99.999,15.975,99.999,20.642,18.125,15.485,19.548,17.92,16.669,16.168,20.654,19.564,63.251,19.97,17.23,76.352,56.101,15.119,20.331,16.392,14.956,19.249,15.306,14.499,17.821,17.054,14.741,17.773,16.568,15.217,99.999,18.851,15.112,70.268,99.999,17.315,99.999,99.999,15.717,63.38,99.999,19.044,60.556,69.547,17.006,58.62,89.626,15.605,99.999,17.013,15.925,19.631
2,1815,21.333,99.999,99.999,17.228,50.509,99.999,15.982,16.701,58.098,19.011,99.999,68.36,20.4,14.8,19.542,18.055,99.997,21.322,21.139,17.463,75.974,18.418,20.961,82.471,20.75,14.962,63.08,16.444,16.387,21.19,16.752,14.474,19.307,16.727,14.369,20.737,17.982,15.498,99.999,17.373,15.757,70.965,20.304,15.6,99.999,20.113,15.453,52.906,99.999,17.789,71.592,71.784,17.216,89.517,82.695,16.713,19.339,17.846,16.045,75.497
3,1823,20.737,15.223,99.999,16.08,99.999,19.161,17.943,17.959,52.168,16.568,99.999,57.64,19.152,16.124,99.996,17.285,15.89,16.859,20.818,17.097,54.383,17.273,53.026,72.971,18.482,99.999,16.031,15.682,16.396,19.465,16.693,14.604,16.665,17.381,14.526,16.124,15.678,14.869,99.999,19.548,15.333,65.546,17.304,15.075,99.997,20.421,15.873,66.837,57.629,17.012,54.568,84.169,16.435,66.411,83.772,15.984,18.835,21.057,16.101,59.814
4,1830,52.716,15.609,99.999,17.219,99.999,65.588,99.999,16.576,73.332,17.077,50.656,57.54,99.999,17.662,18.029,20.4,99.995,49.648,99.977,19.266,20.279,19.189,19.868,64.809,19.558,16.344,21.356,17.436,99.998,56.124,18.199,14.594,99.999,17.191,14.54,99.999,16.371,16.068,19.733,19.339,15.379,66.83,18.196,16.9,99.997,63.424,16.693,99.998,69.125,17.351,70.698,79.946,18.135,81.91,91.977,16.721,99.999,59.729,18.152,52.514
5,1838,19.933,15.535,99.999,17.515,99.999,21.188,19.458,16.828,66.669,19.654,99.999,65.415,19.657,15.868,99.998,16.859,99.998,16.859,52.66,19.995,66.661,19.849,58.289,80.189,58.301,16.23,20.164,16.104,16.339,21.292,16.178,14.48,99.999,18.773,14.712,17.84,16.725,14.542,99.999,17.227,16.157,80.861,21.369,15.422,99.998,99.999,15.754,99.999,65.216,18.139,62.527,74.907,18.198,73.934,85.679,16.383,99.999,20.254,17.963,62.873
6,1845,19.968,16.517,99.999,17.605,99.999,58.34,18.852,17.243,63.902,19.556,99.998,65.648,19.762,15.417,99.998,19.298,99.995,20.451,21.171,17.091,59.205,20.462,17.457,79.253,19.702,15.367,99.999,16.999,18.162,21.277,17.376,14.656,17.656,17.689,14.431,20.734,16.549,14.542,52.918,55.014,15.363,83.557,18.027,15.433,20.263,99.998,15.751,21.089,54.617,18.548,56.769,78.175,16.979,80.058,72.213,17.359,99.999,18.951,16.257,66.924
7,1852,20.843,14.645,99.999,15.866,99.999,50.597,99.999,17.699,99.999,16.017,99.998,60.203,20.07,15.28,18.517,16.176,99.993,19.707,99.997,17.693,21.331,15.754,17.597,56.367,18.574,14.757,17.312,15.516,15.643,17.084,15.274,14.504,99.999,17.516,14.308,19.533,16.049,14.534,99.999,17.707,14.687,21.148,17.753,14.776,99.997,18.41,15.162,99.999,99.998,17.213,50.415,54.667,99.997,53.655,83.942,15.532,99.999,17.584,14.781,20.686
8,1860,54.892,99.999,99.999,99.999,99.999,61.992,99.999,20.724,62.729,19.404,99.999,73.878,66.197,19.438,18.799,19.612,99.995,18.089,99.99,18.951,60.774,19.925,20.5,76.139,67.039,16.885,99.999,16.679,99.999,19.547,17.853,14.85,99.999,18.583,14.515,18.53,17.467,16.748,19.658,18.539,15.18,19.295,99.999,15.763,17.872,52.516,17.664,48.669,99.998,20.019,70.383,76.284,16.73,78.684,81.918,17.173,50.286,17.833,17.667,57.933
9,1867,71.687,14.904,99.999,16.485,99.999,99.999,55.088,15.889,99.999,19.637,99.998,58.275,18.108,15.203,21.146,17.861,17.219,64.076,20.96,18.954,60.746,46.829,18.643,79.876,19.224,15.497,16.24,16.092,14.727,18.183,17.84,14.868,19.649,17.694,14.64,18.686,18.029,14.783,52.408,20.663,14.944,70.644,67.213,29.088,18.826,52.593,29.006,20.294,52.653,19.514,20.076,66.643,16.469,56.861,76.309,16.059,99.999,53.775,16.905,63.547
