,date,"[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
