,date,"[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,0.0,0.452,50.775,53.173,0.434,44.189,41.415,0.364,1.201,0.525,0.34,51.757,41.476,0.418,40.68,0.416,0.422,0.0,47.659,0.626,1.208,0.541,0.46,35.107,36.596,0.549,0.511,0.379,0.292,51.672,40.329,36.95,36.578,43.389,0.3,46.533,38.33,0.511,1.165,0.0,0.475,0.0,39.819,27.685,0.0,35.409,0.698,0.0,0.938,0.632,1.239,0.386,0.394,38.934,40.484,0.0,1.069,39.184,0.0,48.226
1,1808,27.124,0.273,0.762,44.326,0.268,46.923,36.938,0.721,1.042,0.85,0.258,44.937,32.47,26.953,35.611,24.438,29.419,43.716,34.546,0.403,1.22,40.136,0.292,44.427,27.49,0.435,33.789,0.616,0.362,39.853,33.227,29.126,28.735,40.905,0.0,45.66,30.591,37.719,0.0,39.953,0.0,45.642,36.352,24.56,27.392,30.832,20.569,35.571,27.783,31.576,1.165,37.216,0.228,38.827,29.736,0.0,0.0,36.099,0.0,37.994
2,1815,32.257,0.301,1.04,0.0,0.257,48.275,37.304,0.217,1.031,0.323,0.25,44.006,34.008,0.341,33.007,30.108,27.246,44.622,32.031,0.458,1.121,0.373,0.303,40.023,29.931,0.419,1.104,34.93,0.306,41.641,37.49,27.661,0.807,38.87,0.0,45.388,33.618,38.574,37.133,42.041,0.0,0.0,36.938,25.952,1.009,28.329,0.332,35.424,27.124,30.591,0.73,41.333,0.279,1.087,27.563,0.375,30.227,36.557,0.305,38.153
3,1823,24.231,0.291,43.545,41.4,0.269,43.652,40.858,0.231,1.137,0.0,0.224,44.097,27.27,23.791,34.759,0.0,0.262,43.924,33.227,0.42,1.072,0.443,0.332,42.385,24.853,0.351,37.188,0.287,0.311,38.29,31.836,31.323,0.555,37.814,0.0,42.309,31.689,35.864,0.939,38.556,0.274,0.0,33.935,23.022,0.961,27.398,24.426,35.269,26.465,30.194,1.01,35.559,0.299,38.308,26.684,0.393,1.044,32.895,27.807,37.426
4,1830,25.781,0.304,0.797,0.315,0.205,45.12,38.794,0.676,0.914,0.334,0.202,42.077,28.222,27.514,32.032,0.0,0.28,41.937,31.152,0.424,1.152,0.476,0.307,40.603,27.685,0.433,1.155,0.0,0.258,37.942,32.177,33.349,0.644,35.278,0.0,45.587,31.787,35.888,37.768,40.185,0.0,0.0,35.571,26.66,27.514,23.938,0.348,33.668,27.002,33.423,1.126,0.0,0.344,37.762,26.538,0.0,31.283,34.048,0.212,40.069
5,1838,30.468,0.28,0.759,44.113,0.225,47.225,41.418,0.254,1.006,0.293,0.227,44.265,31.006,33.789,5.865,0.0,0.325,46.273,0.0,0.468,2.146,39.135,0.357,43.872,29.004,0.421,5.987,0.523,0.31,39.26,34.668,30.566,0.547,38.385,0.0,44.281,30.42,37.402,39.917,0.0,0.0,0.0,35.937,27.929,0.334,28.564,0.321,31.176,30.908,31.787,1.122,0.343,0.351,39.926,30.444,0.341,0.981,36.255,0.3,38.861
6,1845,28.174,0.274,1.143,41.348,0.231,44.516,36.035,0.214,1.023,0.538,0.258,45.007,30.298,24.731,0.701,0.0,0.269,41.922,32.592,0.32,1.146,0.383,28.222,42.642,27.368,0.403,38.308,0.0,0.212,40.039,33.227,24.975,0.581,37.411,0.0,42.581,29.37,28.589,39.355,0.0,0.333,0.0,32.715,25.83,33.545,27.382,21.289,35.583,29.834,30.078,1.02,35.812,0.261,1.03,27.075,0.0,1.021,37.484,0.281,37.103
7,1852,28.247,0.322,1.18,1.011,0.253,47.509,37.719,0.258,1.139,0.909,0.252,45.953,30.883,29.492,1.158,0.0,0.284,41.894,37.28,0.402,1.265,1.879,0.354,41.61,27.978,0.494,1.144,0.335,0.307,38.253,31.64,31.958,0.68,40.033,0.0,45.91,30.102,35.815,6.152,0.0,0.0,42.041,36.035,27.197,0.994,33.334,22.363,29.15,28.882,32.666,0.864,0.628,0.309,36.578,27.905,0.386,1.118,37.909,0.326,39.968
8,1860,0.0,0.22,0.793,0.298,0.212,36.828,35.327,0.709,0.915,0.298,0.197,1.024,32.959,0.343,31.299,32.412,0.282,34.076,30.2,0.511,1.187,0.31,0.236,0.494,27.27,0.371,5.63,0.0,0.171,36.505,32.837,32.837,0.778,0.0,0.0,0.0,28.003,37.133,36.035,0.347,0.234,0.326,30.053,0.446,0.726,0.416,0.244,0.735,0.0,30.591,1.185,0.961,0.259,0.649,25.488,0.36,0.0,0.366,0.0,0.918
9,1867,25.708,0.324,1.176,42.074,0.237,42.346,38.51,0.193,1.245,0.911,0.201,42.981,30.566,0.437,6.055,0.0,24.487,40.203,33.398,0.443,1.265,0.372,0.417,40.594,25.024,0.481,0.689,0.622,0.281,36.776,33.13,31.494,0.563,39.843,0.0,42.977,26.635,38.037,5.499,0.0,0.303,0.0,30.493,25.781,1.05,29.431,22.717,33.409,25.61,32.324,1.217,35.772,0.308,38.272,26.147,0.389,31.875,34.527,16.711,36.001
