,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
0,Afghanistan,0.0,0.0,4.8,3.4,3.5,3.8,3.9,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,6.8,4.3,6.4,5.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Yemen,0.0,0.0,4.6,4.3,3.7,4.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,2.1,0.0,0.0,5.9,4.8,5.9,7.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.0,0.0,2.9,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.9,4.0,3.9,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.0,0.0,4.3,4.1,0.0,3.7,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,5.0,4.1,3.7,4.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Syria,0.0,0.0,4.2,3.9,3.3,4.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,5.7,4.3,5.6,5.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Democratic Republic of Congo,0.0,0.0,2.9,2.1,0.0,1.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.6,1.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,0.0,4.0,3.5,0.0,3.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,5.6,3.8,4.5,4.7,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,0.0,5.9,4.6,4.3,5.5,5.1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.9,0.0,2.5,0.0,0.0,7.7,5.4,7.0,7.4,7.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,1.9,0.0,3.4,2.7,0.0,3.5,3.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,4.4,3.2,4.2,4.5,4.1,1.3,1.8,1.9,2.2,1.8,2.4,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.1,1.3,0.0
9,Saudi Arabia,0.0,0.0,4.0,3.1,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,3.7,2.7,3.1,3.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Switzerland,0.0,0.0,6.7,5.5,4.8,5.7,6.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,2.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.2,0.0,3.0,2.3,0.0,9.9,6.5,8.5,8.2,7.7,0.0,2.2,2.4,1.9,2.0,0.0,0.0,3.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.9,0.0,0.0
11,Ireland,0.0,0.0,5.1,4.5,3.5,4.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.8,0.0,2.2,0.0,0.0,7.2,5.1,5.9,5.7,5.3,0.0,1.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.6,0.0,0.0
12,Lithuania,0.0,0.0,4.8,4.2,3.6,4.6,4.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,2.6,0.0,0.0,7.1,4.8,6.1,6.3,5.6,0.0,1.5,1.9,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.5,0.0,0.0
13,Rwanda,1.5,0.0,4.5,4.7,3.8,4.8,5.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,1.7,2.9,2.3,0.0,5.8,5.0,5.8,6.0,6.2,0.0,1.0,1.9,1.5,1.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.3,0.0
14,Namibia,0.0,0.0,4.5,3.7,4.1,4.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,3.6,5.6,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Sweden,0.0,0.0,5.6,4.3,3.4,4.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,2.1,0.0,0.0,7.9,5.3,6.3,7.1,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0
16,New Zealand,0.0,0.0,4.5,3.7,3.4,3.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,5.6,4.1,5.7,4.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Norway,0.0,0.0,6.0,4.8,4.2,5.3,5.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.8,0.0,2.5,0.0,0.0,9.0,6.2,7.8,8.2,7.6,0.0,1.8,2.3,1.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0,0.0
18,Finland,0.0,0.0,4.3,3.3,2.8,3.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,5.7,4.0,4.7,5.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Iceland,0.0,0.0,4.0,3.3,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,6.2,4.0,5.2,5.6,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
