,place,"In this sentence: 'In Iceland, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,0.0,0.0,10.0,0.0,10.0,0.0,0.0,19.997,10.0,0.0,20.0,19.999,19.999,19.999,19.998,19.999,20.0,0.387,19.998,0.0,0.017,0.0,20.0,20.045,0.0,0.0,19.999,0.0,20.0,21.485,0.0,0.0,10.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.604,19.997,20.0,0.0,19.999,19.996,21.334,19.999,19.999,0.0,20.506,0.001,19.999,20.966,19.999,0.0,19.995,0.0,0.0,19.996
1,Yemen,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,19.998,0.0,20.0,19.999,0.0,19.998,19.997,19.997,20.0,68.286,19.999,0.0,20.037,0.0,20.42,20.034,0.0,0.0,0.0,0.0,20.0,19.997,0.0,0.0,0.0,0.0,0.0,14.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.998,19.997,82.76,6.085,19.999,0.0,19.999,20.8,19.999,19.997,0.0,0.0,19.99,0.0,0.0,19.991
2,Iraq,0.0,0.0,0.0,0.0,14.286,0.0,0.0,10.0,19.998,0.0,20.0,0.0,20.0,19.994,19.998,19.997,20.0,19.998,20.0,19.999,20.0,0.0,20.0,20.0,20.0,0.0,19.998,0.0,19.999,19.996,0.0,0.0,0.0,14.286,0.0,0.0,14.286,0.0,0.0,0.0,0.0,0.0,20.0,19.996,19.99,19.999,19.998,19.998,20.523,0.0,19.998,20.499,19.999,19.993,19.999,0.0,19.992,0.0,0.0,0.0
3,Pakistan,19.998,14.286,0.0,10.0,0.0,0.0,0.0,19.997,19.999,20.0,20.0,20.0,20.0,19.999,19.997,19.999,20.0,20.383,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,19.998,0.0,19.999,19.998,19.998,0.0,14.908,14.286,19.998,19.997,19.999,0.0,20.0,20.0,0.0,19.999,20.0,19.999,19.999,20.0,20.77,20.914,20.0,0.0,21.062,20.721,20.0,20.945,20.0,0.0,19.996,19.991,20.344,19.999
4,Syria,19.992,14.286,14.286,14.286,14.286,0.0,0.0,14.286,19.998,0.0,20.0,19.998,20.0,19.996,19.998,19.986,20.0,19.996,19.998,0.0,20.0,0.0,20.155,20.0,20.0,0.0,0.0,0.0,19.999,19.995,0.0,0.0,0.0,14.286,0.0,14.286,14.286,0.0,0.0,0.0,0.0,0.0,20.0,19.991,19.995,19.998,19.998,19.992,19.998,0.0,19.99,20.773,19.999,19.994,19.999,0.0,10.0,0.0,19.998,19.997
5,Democratic Republic of Congo,19.999,19.992,19.998,0.0,19.998,19.997,19.999,0.0,19.999,10.0,0.0,0.0,20.0,19.999,20.735,19.999,20.0,20.0,20.427,0.0,20.0,20.0,19.995,20.0,20.0,19.999,22.035,19.998,20.0,0.0,21.393,0.0,15.721,19.999,20.564,21.298,19.999,0.0,0.0,20.0,0.0,22.427,20.0,20.0,21.269,20.0,21.282,1.639,20.0,19.999,19.999,19.999,20.0,20.985,20.0,0.0,19.998,19.999,0.0,19.999
6,Iran,19.999,0.0,19.998,0.0,19.994,0.0,19.996,19.999,19.999,20.0,20.0,20.0,20.0,19.999,20.668,19.999,19.999,19.999,11.415,20.0,20.0,19.999,20.0,20.0,20.0,0.0,19.998,0.0,19.999,19.998,0.0,0.0,1.008,19.999,0.0,19.996,19.999,0.0,20.0,20.0,41.854,20.0,20.0,0.0,20.602,19.998,19.999,19.999,20.0,0.0,20.767,19.999,76.325,20.75,20.0,0.0,19.997,19.998,0.0,19.999
7,Mali,19.993,14.286,14.286,14.286,0.0,0.0,0.0,10.0,19.999,19.999,0.0,0.0,20.0,0.0,19.996,0.0,20.0,0.0,19.998,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,19.999,22.986,0.0,0.0,14.706,14.286,0.0,0.603,19.996,0.0,0.0,19.999,0.0,19.997,20.0,19.998,19.997,19.998,22.84,20.994,19.999,0.0,21.974,21.527,20.475,21.127,20.0,0.0,0.0,14.286,0.0,20.932
8,Chad,19.997,0.0,0.0,0.0,14.286,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,19.997,19.995,0.0,20.0,0.0,19.999,20.0,20.0,0.0,20.0,20.0,20.0,0.0,20.965,0.0,21.0,19.995,0.0,0.0,14.286,14.286,0.0,14.286,19.99,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.993,19.999,19.998,21.455,19.998,0.0,19.997,20.442,20.736,19.985,20.0,0.0,19.992,14.286,0.0,19.997
9,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999,19.997,0.0,0.0,19.998,19.996,19.999,19.999,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.995,19.998,20.846,19.999,20.427,0.0,19.999,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
10,Switzerland,19.998,14.286,19.987,19.997,0.0,0.0,0.0,19.997,19.999,20.0,0.0,0.0,20.0,19.999,19.997,19.999,20.0,19.993,19.999,0.0,20.0,20.0,20.0,20.0,20.0,19.998,19.998,19.999,19.999,19.999,20.805,0.0,19.998,19.999,19.997,19.993,19.999,0.0,20.0,20.0,20.0,20.0,20.0,19.998,19.996,20.0,19.998,19.996,19.999,20.0,0.0,20.0,20.0,19.999,20.0,19.996,0.0,19.998,19.999,19.999
11,Ireland,19.999,14.286,0.0,0.0,14.286,0.0,19.997,19.997,19.998,20.0,19.999,19.998,20.0,19.997,19.998,19.999,20.0,19.997,20.343,20.0,20.652,20.0,20.0,20.562,20.0,20.504,21.903,22.792,20.321,19.998,2.044,0.0,23.092,0.0,0.0,0.0,0.886,0.0,19.999,20.0,0.0,19.999,20.0,20.357,19.995,19.999,19.998,19.997,20.269,20.237,22.413,20.562,23.669,20.684,20.0,0.0,19.997,22.231,19.999,20.872
12,Lithuania,19.998,33.333,19.991,0.0,0.0,0.0,19.998,19.999,19.999,20.0,0.0,20.0,20.0,19.999,19.999,19.999,19.999,19.997,19.999,20.0,20.524,20.0,20.0,20.0,10.0,19.997,19.999,19.999,20.546,19.998,22.39,0.0,22.496,19.998,0.0,31.232,19.998,0.0,19.999,20.0,20.777,20.0,20.0,19.998,19.998,19.999,19.998,19.996,19.999,0.0,19.999,20.0,0.318,19.999,20.0,0.0,19.997,19.996,0.0,21.163
