,place,"In this sentence: 'In Iceland, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,18.759,18.033,20.352,18.151,87.033,18.144,19.598,16.15,64.39,77.91,71.844,20.068,21.125,13.201,18.057,48.923,5.262,8.378,15.508,12.243,11.695,13.039,12.253,10.588,12.422,14.268,14.667,99.999,14.339,16.183,19.733,16.691,28.967,20.388,15.839,15.553,17.991,93.664,8.113,17.876,15.893,14.416,14.192,19.862,18.514,15.933,12.7,2.123,15.958,12.1,99.999,99.999,12.114,99.999,13.852,99.998,14.766,15.952,14.278,14.285
1,Yemen,11.736,19.612,18.415,60.263,14.285,65.094,73.779,20.629,84.109,57.891,47.931,51.199,13.115,2.091,17.932,44.906,0.0,12.077,14.462,0.0,16.365,14.784,12.049,10.102,11.709,14.352,14.466,28.659,14.219,14.692,12.986,17.595,14.689,14.815,14.713,15.16,17.38,98.846,14.654,15.351,99.985,99.997,12.328,16.957,17.694,16.365,14.86,28.571,12.851,11.91,38.34,99.999,99.769,0.0,12.252,99.999,14.286,15.802,14.59,0.0
2,Iraq,14.375,18.092,18.717,18.867,17.471,17.061,42.36,17.474,67.958,60.389,16.235,19.212,18.23,20.66,19.552,25.343,5.878,13.366,15.6,12.38,3.356,16.485,12.829,11.577,12.197,14.8,15.302,14.519,14.361,14.992,16.767,18.384,15.143,17.605,15.167,18.079,17.801,99.077,15.667,15.486,99.98,14.815,8.391,18.492,18.894,17.092,13.538,17.88,17.862,12.714,23.993,17.065,12.103,11.35,17.163,99.997,28.571,16.305,14.66,0.0
3,Pakistan,14.59,18.081,19.834,16.567,16.616,19.695,20.391,18.268,70.848,19.662,18.75,19.591,18.494,0.0,54.76,19.88,18.566,18.366,15.896,12.262,7.532,15.983,12.73,11.439,12.754,14.292,15.075,99.999,13.596,14.286,15.941,17.462,16.633,16.636,15.863,28.732,15.414,98.363,14.705,14.786,18.621,28.603,13.383,16.206,19.798,16.97,16.422,14.901,15.284,12.157,16.637,99.999,11.444,99.999,15.774,71.497,7.716,99.999,18.379,14.767
4,Syria,12.467,19.656,15.875,19.068,0.0,82.164,51.047,18.12,62.514,76.102,14.827,17.88,17.223,0.0,14.742,17.54,1.129,18.088,35.46,0.0,3.744,99.88,12.301,11.464,12.165,14.87,14.374,14.47,14.248,15.107,18.668,14.886,15.726,18.038,16.366,18.577,15.974,9.892,19.21,16.141,10.096,0.02,16.006,49.372,19.278,16.496,12.386,15.915,17.013,0.0,99.999,16.341,12.435,3.771,18.136,99.999,14.608,14.95,14.278,16.255
5,Democratic Republic of Congo,48.032,22.967,83.374,82.071,49.539,72.212,64.868,91.582,95.039,77.059,96.73,42.872,61.22,14.498,19.068,20.523,6.165,15.367,14.807,0.0,0.0,16.283,2.568,0.0,10.915,15.474,17.54,16.534,14.231,16.696,18.05,15.988,53.042,20.863,81.162,15.376,18.561,86.887,20.647,63.667,83.34,15.575,11.268,12.663,17.589,14.921,20.221,28.785,13.889,99.616,15.237,17.979,14.595,99.999,18.971,61.184,4.908,17.659,84.859,17.468
6,Iran,13.859,19.399,34.683,19.259,18.6,59.262,66.2,20.655,19.733,17.983,41.661,21.07,15.411,13.37,43.105,15.668,6.566,14.923,14.871,11.988,12.101,13.326,12.103,10.798,12.219,14.721,15.532,99.999,13.829,14.71,14.022,15.803,14.647,53.378,15.127,16.711,15.883,0.0,2.031,14.452,12.041,0.0,10.269,13.249,15.494,15.829,17.043,15.383,12.304,12.284,15.674,99.999,11.897,16.993,12.625,99.999,3.651,15.978,12.289,10.937
7,Mali,15.551,17.397,38.248,18.382,16.772,18.299,72.006,77.457,93.345,89.235,71.346,43.082,15.749,0.616,15.26,58.109,0.998,11.851,12.83,0.0,15.938,16.282,12.947,3.808,12.509,14.475,14.869,28.571,10.33,14.592,14.912,18.485,20.729,14.434,16.785,28.974,16.873,99.879,35.351,21.126,6.22,14.372,15.015,35.433,13.405,13.729,13.931,17.33,12.348,12.2,99.999,99.999,11.58,1.208,12.201,15.257,11.963,14.318,12.661,0.0
8,Chad,18.154,99.999,20.134,53.538,15.96,18.265,18.829,19.55,94.028,73.545,54.002,73.158,20.14,0.0,77.693,20.016,3.481,12.225,13.869,0.0,23.575,17.765,19.075,11.516,12.349,13.699,15.166,14.728,12.911,15.515,15.115,17.386,15.534,16.043,17.451,15.123,20.418,99.436,17.212,16.227,18.406,14.333,13.283,25.848,60.779,15.56,15.782,15.4,17.407,12.258,68.939,16.903,14.244,19.376,17.804,18.185,18.238,19.425,12.302,14.651
9,Saudi Arabia,18.969,62.045,97.001,92.924,87.398,59.52,80.422,99.999,97.631,74.702,93.096,50.409,52.014,17.441,15.059,18.396,18.636,20.024,15.431,12.575,17.572,99.935,13.405,36.942,15.691,99.999,16.126,99.999,14.312,15.03,14.922,52.228,16.462,99.999,16.645,99.999,16.429,98.974,16.258,99.974,12.861,99.999,98.901,15.991,16.737,12.302,14.82,14.88,15.823,12.298,16.439,99.998,14.907,99.999,99.998,99.999,99.999,99.999,18.307,99.999
