,date,"In this sentence: 'In 2016, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become an adolescent.', the missing gendered pronoun is"
0,1801,88.381,93.509,92.015,89.537,74.726,90.829,76.473,92.281,93.66,80.577,62.923,87.727,84.569,84.343,80.116,74.665,52.404,79.793,48.428,87.641,88.741,85.853,81.309,86.014,87.08,91.067,91.221,85.48,80.327,90.005,86.535,85.768,87.129,79.506,77.303,86.166,82.825,86.375,90.775,87.394,83.962,92.723,82.84,84.803,87.061,80.31,78.498,84.236,75.512,85.112,90.536,80.407,81.619,86.049,85.099,87.807,94.193,91.101,76.25,90.769
1,1808,81.928,89.245,91.831,88.753,70.669,91.06,88.233,91.022,90.447,74.48,70.176,87.499,83.579,81.924,81.182,65.906,54.711,75.821,63.675,83.064,80.689,75.25,78.572,76.168,81.73,86.0,89.291,81.443,69.61,86.481,85.551,83.336,91.256,73.42,80.719,87.608,78.174,83.87,91.887,78.397,75.323,90.955,82.996,83.426,90.158,77.204,72.672,82.125,74.609,82.124,93.141,76.666,76.524,84.952,78.958,81.551,91.648,87.631,71.758,85.907
2,1815,82.271,91.404,95.142,86.16,89.635,90.113,85.724,90.376,93.15,72.399,58.775,83.098,84.798,84.3,85.603,68.173,59.784,76.636,68.155,90.815,84.87,79.484,78.304,78.478,70.723,90.022,88.422,75.316,76.229,85.001,81.373,87.875,87.46,69.249,70.078,91.604,81.234,90.837,94.504,85.519,77.584,92.02,87.461,86.894,93.548,80.16,73.723,82.866,82.478,82.601,90.808,68.467,74.353,82.78,82.071,86.877,92.076,82.67,70.516,88.987
3,1823,86.929,89.204,94.277,86.143,81.062,84.367,89.35,90.181,87.746,78.798,71.724,83.429,77.6,81.675,90.45,75.206,68.488,75.711,60.605,88.133,86.776,79.927,77.15,83.414,78.951,85.356,90.632,80.566,82.089,85.245,81.65,90.732,88.738,77.771,78.372,89.158,88.176,85.294,91.536,80.107,80.747,87.192,88.704,83.377,92.334,77.989,70.998,83.781,78.279,86.93,86.683,79.523,79.454,82.249,78.254,87.465,90.034,82.378,78.449,87.372
4,1830,87.646,93.609,90.48,80.652,83.488,87.652,80.728,89.759,80.876,78.362,73.714,87.11,73.929,87.433,82.258,71.29,63.366,79.282,56.75,87.621,86.981,80.053,84.232,85.505,77.913,91.094,90.17,87.819,83.222,89.716,85.395,83.337,87.985,69.721,73.649,88.961,82.005,90.834,92.9,80.475,77.276,91.836,82.448,85.647,91.76,73.767,72.471,82.963,81.925,80.842,91.29,72.191,77.822,81.593,77.576,89.002,92.832,75.768,82.597,86.053
5,1838,86.134,93.204,94.268,87.862,71.073,91.982,90.442,90.389,88.542,82.39,60.666,88.433,87.203,87.164,87.799,79.451,76.174,82.028,70.019,89.63,88.846,83.651,88.157,85.901,75.473,90.644,90.34,86.139,82.921,85.153,86.288,89.328,92.387,85.205,77.039,89.282,88.89,92.383,93.096,82.662,87.064,91.242,86.979,85.933,92.011,85.945,80.338,87.094,82.199,87.065,90.643,78.845,79.933,82.697,78.996,87.814,90.467,85.465,78.371,87.993
6,1845,81.147,87.047,89.665,87.596,80.817,89.068,90.596,85.281,86.907,74.949,63.708,85.735,81.8,80.796,78.302,70.388,59.266,65.956,45.578,87.774,84.591,71.059,77.324,81.526,72.585,85.335,91.108,83.23,78.906,84.322,77.636,87.362,85.818,78.513,77.432,88.278,80.271,90.365,91.274,79.705,79.067,88.545,80.797,82.533,89.587,70.447,65.835,80.11,71.171,80.762,85.587,75.17,74.088,79.72,69.225,83.263,89.22,84.05,73.133,86.334
7,1852,82.708,89.44,90.57,81.888,88.142,91.534,85.982,84.277,83.811,68.562,60.366,89.739,81.469,81.889,82.402,68.134,63.465,74.456,52.198,81.825,85.65,76.812,79.325,79.59,74.521,87.638,89.88,82.027,80.049,78.832,81.359,86.485,86.621,78.208,72.393,89.171,84.028,87.148,90.144,74.304,76.553,88.755,78.558,81.115,87.751,70.421,70.614,79.763,68.876,75.904,83.077,69.658,74.043,78.36,74.332,81.105,88.308,80.649,76.429,87.01
8,1860,79.567,85.702,93.064,78.449,84.036,86.124,84.662,85.255,91.879,74.145,50.239,87.448,78.477,83.216,73.376,58.138,55.197,50.408,43.268,90.674,85.369,83.673,87.315,83.543,74.323,89.791,90.649,82.508,72.534,89.637,80.521,82.741,89.544,69.006,72.258,84.443,73.337,90.078,88.707,69.545,70.243,87.959,79.887,82.195,91.528,67.806,65.634,74.791,57.761,84.8,91.016,77.57,80.716,86.805,79.435,84.263,91.8,80.545,77.311,84.389
9,1867,85.257,91.969,91.821,80.585,72.696,91.272,86.0,88.61,90.453,80.582,50.973,89.676,79.325,88.721,85.076,69.37,58.376,83.232,59.616,90.411,88.17,78.518,84.444,85.445,72.667,89.504,92.233,85.981,84.598,87.693,80.056,90.97,90.345,76.605,76.044,88.637,87.958,92.792,94.576,81.489,82.9,92.513,80.441,87.249,92.185,76.626,74.105,82.838,78.36,79.67,89.57,76.474,79.981,87.188,78.321,83.169,91.716,84.327,77.074,87.799
