,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,98.993,18.357,88.233,96.338,82.492,95.0,98.409,97.921,87.163,98.726,91.162,96.112,98.886,87.288,76.168,88.166,90.281,94.312,95.668,88.902,10.971,99.111,12.876,89.387,99.742,96.475,87.831,95.292,87.873,94.685,98.232,63.221,87.642,87.643,90.667,96.964,97.173,98.049,96.038,98.743,96.048,98.415,97.975,84.223,86.6,96.682,89.914,96.953,97.89,95.171,93.829,96.883,87.043,96.894,99.425,96.118,93.578,93.012,88.987,97.516
1,Yemen,99.422,54.644,90.419,98.097,92.095,96.569,98.787,99.205,92.022,99.236,94.636,94.737,98.867,94.473,81.13,93.359,92.34,93.705,97.034,89.962,74.657,98.345,13.467,90.28,99.753,98.37,92.401,96.559,95.229,93.817,98.405,92.834,90.871,97.14,95.42,97.278,97.913,98.657,96.767,99.227,98.644,98.486,98.127,93.926,90.219,98.068,94.045,96.932,97.865,97.738,91.862,98.276,86.777,97.346,99.548,95.644,95.299,96.515,90.175,98.16
2,Iraq,98.733,11.477,84.467,92.449,75.883,94.293,97.062,98.372,88.274,98.377,93.181,96.356,98.212,73.026,74.407,67.721,89.784,93.218,86.415,82.231,9.204,98.498,11.851,95.23,99.584,97.312,91.483,95.071,90.747,97.254,97.67,53.005,87.886,75.135,90.053,96.226,91.603,98.94,96.48,99.139,97.608,98.847,97.711,75.815,86.809,93.228,91.048,96.574,97.029,96.754,92.781,96.393,84.246,96.405,98.952,96.266,93.332,94.196,86.769,98.01
3,Pakistan,97.626,12.789,88.632,93.91,85.197,93.726,96.841,97.078,90.808,97.397,94.454,90.834,96.42,80.216,65.856,82.444,89.556,88.9,90.545,78.896,8.473,89.696,12.754,74.783,99.55,96.079,88.754,95.067,86.922,90.274,96.837,71.584,83.316,87.957,92.491,91.228,94.862,97.513,95.751,98.236,96.147,94.61,95.517,67.251,85.031,94.953,87.65,91.454,93.569,88.245,92.259,96.073,85.902,92.566,98.074,93.314,91.734,94.391,89.366,96.166
4,Syria,99.136,15.739,87.818,95.62,80.757,97.271,98.346,98.904,91.656,99.033,96.683,98.415,98.946,79.242,83.737,82.915,93.562,95.17,94.664,83.677,10.881,94.248,11.982,96.995,99.634,98.047,92.386,96.787,95.796,98.555,98.426,87.577,92.178,90.401,96.448,98.598,97.441,99.167,97.409,99.477,99.041,99.329,98.852,88.23,90.65,94.64,93.65,97.79,98.57,97.577,93.316,97.366,92.045,98.816,99.29,96.812,96.079,95.806,95.815,98.964
5,Democratic Republic of Congo,98.789,56.349,91.338,95.185,90.915,90.295,97.931,94.926,80.327,97.848,92.453,71.041,98.195,95.468,81.63,93.13,90.845,76.874,96.548,85.38,56.34,91.821,83.793,76.604,98.555,95.288,81.604,95.223,93.647,78.178,98.037,92.743,83.449,93.659,96.62,93.314,97.416,95.978,95.929,98.978,98.014,97.307,96.52,95.162,90.084,97.977,96.043,95.566,97.272,95.63,90.071,96.599,85.247,92.385,99.143,96.772,89.88,96.136,94.713,95.476
6,Iran,96.368,6.775,19.191,87.533,17.947,84.906,94.818,97.103,87.141,97.635,95.401,92.531,97.24,18.53,49.271,60.736,86.558,92.425,85.306,14.003,11.194,91.176,13.526,80.564,99.024,92.818,88.467,93.953,95.642,94.84,96.797,13.877,68.396,75.954,67.025,91.886,91.261,94.795,94.422,97.317,94.904,97.582,94.326,14.841,80.169,90.543,78.532,95.705,91.756,73.878,92.521,97.448,80.724,95.249,97.873,92.041,90.504,93.066,93.083,95.813
7,Mali,98.422,59.329,93.65,96.333,90.706,96.705,97.902,98.461,89.868,98.06,96.004,93.376,98.069,91.481,75.975,79.933,92.559,90.714,96.571,92.971,76.728,98.561,90.98,95.071,99.352,97.718,89.334,93.38,91.678,89.08,97.646,77.94,87.637,93.002,90.756,96.815,98.262,97.615,96.913,99.15,97.818,98.085,98.191,85.151,87.816,96.449,91.47,94.843,97.956,95.623,86.746,97.664,90.364,94.388,99.178,95.952,89.538,94.73,89.7,95.942
8,Chad,99.279,21.487,93.514,96.899,90.228,95.758,98.987,98.725,93.229,98.247,96.595,94.777,98.788,93.496,79.965,87.562,93.314,92.583,97.775,87.344,66.056,98.351,13.162,91.773,99.695,98.392,93.971,96.288,94.728,92.792,98.851,84.089,93.172,94.616,94.651,97.075,98.335,97.459,98.317,99.508,98.385,98.541,98.445,90.368,90.799,97.939,93.054,96.48,97.55,97.323,92.811,98.501,90.547,96.163,99.387,98.167,95.143,96.163,93.865,97.673
9,Saudi Arabia,96.981,20.226,91.412,96.636,88.249,97.508,97.822,98.618,92.12,98.238,97.721,98.553,97.626,83.814,79.604,92.747,93.658,97.01,94.786,96.625,86.699,99.436,97.959,96.917,99.375,97.257,93.472,98.598,96.456,97.203,97.977,57.829,87.156,94.469,95.694,97.55,95.671,93.353,96.041,97.808,95.996,98.393,96.848,81.186,87.801,97.594,95.968,97.915,93.126,91.713,94.136,98.404,93.253,98.143,98.308,96.353,94.633,97.441,94.477,98.455
