,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,9.869,5.16,5.826,0.0,6.018,22.741,6.396,14.425,16.766,17.698,16.321,26.141,20.791,0.0,2.437,0.0,0.0,3.494,1.994,18.477,15.971,18.078,9.497,17.473,20.95,3.469,2.541,3.28,2.592,6.057,1.606,0.0,2.937,2.805,3.857,3.763,9.732,23.916,23.492,49.755,4.131,51.123,27.759,1.869,2.289,1.86,0.0,2.809,0.0,13.873,11.851,15.388,11.304,14.919,14.432,9.013,9.566,10.512,10.685,16.797
1,1808,7.774,3.915,15.921,3.473,3.629,32.776,5.583,15.336,12.205,11.58,11.066,21.823,8.411,2.083,1.976,2.443,0.0,3.32,0.0,16.408,15.463,14.842,7.953,16.427,10.612,3.42,5.587,3.849,2.136,8.612,1.808,6.263,6.675,2.124,0.0,13.102,4.788,14.787,13.79,14.947,15.727,14.781,23.495,1.492,4.39,2.327,0.0,11.851,0.0,9.845,12.74,17.963,10.28,17.423,9.599,10.094,7.322,8.03,5.373,10.933
2,1815,5.562,3.94,6.688,0.0,2.959,31.06,0.0,17.578,11.475,10.779,3.845,15.043,7.815,1.744,2.103,0.0,0.0,6.131,0.0,17.351,17.218,14.681,10.905,14.758,10.016,5.256,4.318,3.857,2.767,8.042,1.527,5.2,8.406,6.552,0.0,10.925,3.659,10.062,13.293,11.589,12.664,17.257,6.421,0.0,3.088,1.744,0.0,8.49,0.0,10.571,11.078,12.817,10.769,15.348,7.973,8.012,8.213,7.357,4.789,12.858
3,1823,5.592,4.541,8.792,8.146,4.44,34.652,4.214,19.13,14.227,11.499,4.282,17.1,9.668,0.0,2.447,0.0,0.0,8.029,0.0,13.436,14.39,7.642,11.932,15.531,10.307,6.088,1.955,5.515,3.709,6.602,3.164,8.885,6.602,2.968,3.093,10.091,4.712,12.474,12.561,12.498,14.758,15.255,9.558,1.813,2.422,1.649,0.0,12.456,0.0,8.777,10.752,13.998,10.101,19.364,11.74,7.749,6.7,8.37,7.152,12.031
4,1830,7.086,3.827,8.026,7.068,4.053,33.194,3.455,12.636,9.454,11.804,14.423,23.459,10.49,0.0,2.168,1.503,0.0,3.296,0.0,20.369,7.121,13.535,14.337,17.798,5.316,4.358,4.889,2.952,4.447,8.938,3.394,7.575,3.241,2.446,6.852,12.488,0.0,11.792,16.372,11.423,17.382,14.024,23.147,1.349,2.267,1.955,0.0,6.503,0.0,11.505,10.828,11.794,8.236,14.502,13.835,9.031,6.373,11.462,7.194,15.596
5,1838,6.592,4.755,6.535,9.001,4.623,34.164,4.23,22.107,22.336,13.061,5.753,26.162,9.88,0.0,2.602,1.915,0.0,7.632,0.0,18.085,18.402,16.304,12.378,15.141,9.934,5.515,1.912,3.06,4.114,10.51,1.953,9.597,6.511,2.274,0.0,12.726,10.118,13.137,16.909,14.422,1.788,23.382,19.971,1.582,2.068,2.028,0.0,6.842,0.0,9.745,11.629,17.029,12.933,18.485,11.812,8.082,9.722,7.499,6.059,17.278
6,1845,7.265,4.813,16.544,8.13,5.606,34.713,4.343,17.411,13.071,11.576,13.352,25.854,16.455,0.0,2.672,0.0,0.0,8.014,0.0,18.945,13.339,15.362,12.061,13.944,7.981,6.186,3.871,3.611,2.5,7.855,2.011,8.381,3.577,3.174,0.0,23.626,4.993,12.479,17.177,12.846,14.605,15.006,9.434,2.889,2.794,2.228,0.0,5.511,0.0,11.141,14.86,15.539,13.466,14.575,12.606,5.08,5.518,6.277,5.241,14.683
7,1852,8.999,3.833,17.255,3.632,4.675,36.337,3.632,14.327,19.729,12.895,16.642,27.789,18.713,3.094,2.155,2.386,0.0,7.465,0.0,25.375,18.544,11.943,11.44,20.068,10.102,6.607,4.003,3.231,3.552,8.86,2.08,9.408,5.963,3.574,0.0,21.808,5.399,11.688,16.451,15.832,1.77,17.256,8.85,1.424,2.431,1.765,0.0,6.046,0.0,11.749,15.324,17.806,14.044,14.156,14.294,7.781,7.393,10.976,6.358,17.171
8,1860,6.905,3.735,17.76,9.688,5.215,35.235,5.179,16.085,24.688,12.52,12.809,30.841,19.263,1.889,2.1,3.22,0.0,7.764,1.866,16.26,14.02,15.868,11.829,17.11,4.623,5.206,5.375,8.376,6.753,8.976,4.538,7.088,9.662,2.975,2.38,21.753,5.518,8.032,13.995,10.815,2.191,27.029,4.527,1.862,2.596,6.239,0.0,14.559,0.0,12.262,14.772,12.651,11.373,17.008,11.353,6.898,11.259,10.386,9.562,17.764
9,1867,5.825,4.004,17.977,7.882,4.452,24.67,4.434,15.957,15.033,10.834,3.473,23.965,10.022,1.747,2.432,1.755,0.0,4.001,1.787,18.857,5.881,12.672,3.934,17.871,11.946,4.813,2.195,3.562,2.305,9.768,1.624,5.819,5.525,3.05,0.0,9.029,4.919,8.662,12.742,15.732,3.226,24.414,21.628,0.0,2.811,1.926,0.0,6.219,0.0,10.467,12.791,13.631,10.974,16.073,14.294,8.021,8.798,8.736,4.67,13.601
