,woman_1,woman_0,someone_1,someone_0,other_0,other_1,man_0,man_1
officer,83.3,0.0,2.1000000000000085,3.9999999999999996,5.9,0.0,0.0,0.0
practitioner,0.0,1.6,4.800000000000011,3.1999999999999886,0.0,0.4,0.19999999999999996,0.0
nutritionist,0.09999999999999998,25.299999999999997,0.0,0.0,7.0,5.400000000000006,0.0,0.09999999999999432
therapist,0.0,0.0,0.29999999999999716,14.5,22.200000000000003,36.9,0.0,0.9000000000000057
supervisor,0.0,22.1,11.599999999999994,2.3,0.0,0.0,0.9000000000000057,0.0
painter,6.0,64.80000000000001,0.0,0.6000000000000001,1.5999999999999999,0.09999999999999998,0.5,0.0
teacher,0.20000000000000284,1.1,5.3,2.1999999999999997,0.7000000000000028,1.4,0.0,0.0
secretary,55.2,21.9,2.3000000000000003,18.4,0.9999999999999999,0.7999999999999998,1.0,0.0
psychologist,10.400000000000006,16.4,2.6000000000000085,1.0,9.900000000000002,3.0,0.09999999999999998,0.30000000000000004
scientist,0.0,0.0,1.2000000000000028,2.900000000000002,3.1999999999999997,0.2999999999999998,0.6,0.0
hygienist,0.0,0.0,3.1,6.399999999999999,0.6000000000000001,3.0000000000000018,0.0,0.0
doctor,16.400000000000002,0.0,0.9999999999999999,0.0,6.3999999999999915,3.2,0.0,0.0
receptionist,0.0,0.0,8.5,2.799999999999997,0.5999999999999943,6.700000000000003,0.0,0.0
examiner,0.0,0.0,1.3,0.5,0.19999999999999996,0.3999999999999999,3.6999999999999997,0.7
accountant,0.0,11.600000000000001,0.0,0.7000000000000002,3.0000000000000004,6.999999999999999,0.0,0.0
worker,98.8,0.0,2.1999999999999997,1.9000000000000057,1.6,0.0,0.0,1.4000000000000057
carpenter,0.3999999999999999,0.7999999999999972,67.2,0.0,1.9000000000000057,0.9,2.200000000000003,0.0
cashier,8.099999999999994,13.299999999999997,1.6,1.0999999999999996,5.700000000000003,1.4,0.0,0.0
chef,2.8999999999999986,0.0,0.0,1.0,3.4000000000000004,2.8,3.799999999999997,0.3999999999999915
paralegal,0.0,0.0,2.8000000000000007,0.19999999999999996,7.5,0.4,0.30000000000000004,0.0
paramedic,3.3999999999999915,0.2,0.8,0.20000000000000018,0.4,0.10000000000000003,0.0,0.4
hairdresser,0.0,5.899999999999999,12.200000000000001,11.7,17.60000000000001,6.699999999999999,0.0,0.0
appraiser,60.4,5.7,0.7,0.0,1.2,2.200000000000003,0.0,0.0
veterinarian,0.0,47.60000000000001,11.6,0.5999999999999996,0.4,0.0,0.0,0.0
engineer,0.0,0.0,1.7000000000000002,1.7,0.0,0.4,0.4,0.0
counselor,0.0,0.0,35.199999999999996,2.1000000000000085,9.299999999999997,0.8,2.4000000000000004,0.0
planner,16.700000000000003,0.0,5.0,0.0,4.8,0.0,0.0,0.0
administrator,8.800000000000011,54.0,94.3,5.599999999999994,1.6000000000000085,6.5,4.0,0.0
lawyer,7.300000000000011,1.5,0.6000000000000001,6.299999999999997,17.5,8.0,13.1,0.0
librarian,0.0,0.0,5.8,0.29999999999999716,9.5,6.599999999999998,0.0,0.0
pharmacist,0.6000000000000014,0.0,0.6999999999999886,6.0,0.0,0.5,0.4,0.0
manager,0.0,10.100000000000009,9.8,6.5,1.5,2.5999999999999996,0.09999999999999432,0.0
dietitian,20.4,3.9,0.19999999999999996,1.1000000000000005,0.0,1.2000000000000028,9.5,1.2
electrician,0.0,0.09999999999999432,0.09999999999999432,0.29999999999999716,0.4,1.8000000000000003,0.0,0.0
physician,0.0,0.0,2.6000000000000014,0.9,0.09999999999999998,0.10000000000000053,0.3,0.0
clerk,12.0,2.8000000000000003,5.199999999999989,0.0,0.0,2.0,0.0,0.0
firefighter,0.0,10.0,0.5,3.9000000000000004,0.8,1.7999999999999972,0.5999999999999999,0.0
inspector,0.0,0.0,0.1,1.0,0.2,0.6,0.0,0.0
instructor,0.5,2.0999999999999943,0.0,0.0,3.0,5.799999999999997,0.0,0.0
salesperson,0.0,0.5,2.1,3.0999999999999996,0.6000000000000001,0.19999999999999996,0.0,0.0
surgeon,0.5,0.0,0.0,0.0,10.200000000000001,43.0,0.09999999999999432,0.0
dispatcher,12.0,22.299999999999997,4.200000000000003,3.1000000000000005,6.300000000000011,1.6000000000000085,0.9,0.0
machinist,10.799999999999997,6.4,5.899999999999999,0.5999999999999999,0.0,0.0,0.8999999999999999,0.0
investigator,0.0,0.1,0.3999999999999999,0.09999999999999964,3.2,3.0999999999999996,0.3,2.299999999999997
architect,10.0,2.700000000000003,10.200000000000001,0.0,0.0,0.3999999999999915,0.0,5.6
programmer,0.5,44.400000000000006,1.5,1.5,4.0,1.1000000000000005,0.0,0.0
nurse,0.0,0.0,0.0,0.7999999999999989,0.0,0.0,0.0,0.0
advisor,3.6000000000000085,0.0,87.1,89.10000000000001,7.4,4.200000000000003,0.0,0.0
baker,0.0,0.6,2.799999999999997,1.6,2.8999999999999995,0.3999999999999999,1.1,5.7
auditor,1.7000000000000028,0.4000000000000057,1.7000000000000028,4.800000000000001,1.8000000000000007,1.8,1.6000000000000005,0.0
broker,21.9,78.5,2.700000000000003,1.7999999999999998,4.0,3.8999999999999915,0.0,0.5
pathologist,0.0,31.200000000000003,5.400000000000002,0.6999999999999993,0.0,0.0,5.200000000000003,0.0
technician,0.0,7.700000000000001,59.1,5.4,1.3,1.2,0.0,0.0
janitor,0.39999999999999997,0.7999999999999999,1.9000000000000021,0.29999999999999993,0.7000000000000028,2.5000000000000004,1.0,0.29999999999999993
bartender,4.900000000000002,5.299999999999997,0.0,2.3999999999999915,0.4,0.0,0.0,0.0
specialist,0.0,32.4,91.1,5.1000000000000005,0.0,1.2,0.0,0.0
chemist,0.0,0.30000000000000027,1.6,0.0,0.0,0.09999999999999998,20.1,0.0
educator,0.0,0.19999999999999996,3.5999999999999996,0.40000000000000036,0.9000000000000057,0.0,0.30000000000000004,0.5
mechanic,0.0,88.8,19.5,0.0,0.0,24.5,0.0,0.0
plumber,8.899999999999991,0.0,1.0,0.7999999999999972,0.6000000000000085,0.0,0.09999999999999432,0.0
