,other_1,man_1,someone_1,man_0,woman_0,other_0,someone_0,woman_1
plumber,0.0,1.7000000000000028,48.4,0.0,0.0,0.0,3.299999999999997,0.0
therapist,2.0,0.0,19.0,0.0,0.0,7.299999999999997,6.199999999999996,0.0
clerk,10.799999999999997,0.5,0.0,1.4000000000000004,19.4,0.0,0.0,4.599999999999998
secretary,10.399999999999999,0.0,14.5,0.0,4.599999999999994,4.299999999999997,10.100000000000001,2.5
bartender,18.200000000000003,0.0,10.400000000000006,0.0,0.0,0.0,54.6,0.0
electrician,0.0,0.0,6.200000000000003,1.0999999999999996,0.0,0.0,8.800000000000004,0.0
mechanic,0.0,1.0,0.0,21.299999999999997,21.3,0.0,29.799999999999997,0.0
specialist,0.7999999999999972,0.0,11.899999999999999,0.0,6.200000000000001,0.0,0.8000000000000043,0.0
paralegal,0.0,0.0,3.6000000000000085,0.0,0.0,7.099999999999998,6.399999999999999,0.0
librarian,0.7000000000000028,1.0,3.1000000000000014,1.0999999999999943,0.0,2.4000000000000057,1.2999999999999972,0.0
examiner,0.0,0.5,7.0,0.5,3.0,4.8,7.800000000000004,1.4000000000000001
nurse,0.7000000000000028,0.0,0.0,0.0,3.4000000000000004,6.5,0.0,1.0
technician,7.800000000000004,4.200000000000003,5.1000000000000005,12.899999999999999,6.600000000000001,0.0,6.600000000000001,0.0
scientist,17.200000000000003,0.0,3.2,0.0,0.0,0.0,3.4,0.0
planner,3.700000000000003,3.6000000000000085,7.0,0.0,0.0,3.5999999999999943,0.0,0.6000000000000005
carpenter,5.899999999999999,0.0,0.0,0.0,5.799999999999997,6.100000000000001,0.0,11.2
janitor,0.0,4.900000000000006,2.3,12.600000000000009,8.699999999999996,0.0,2.5,2.6999999999999993
surgeon,7.800000000000004,0.0,0.0,0.0,0.0,7.100000000000001,0.0,0.0
pathologist,0.0,1.1,5.899999999999999,0.0,0.0,26.3,0.0,0.0
machinist,0.0,4.3999999999999915,19.300000000000004,13.200000000000003,3.0,0.0,15.5,0.8999999999999986
salesperson,5.300000000000004,15.399999999999999,32.9,12.700000000000003,0.4999999999999999,5.5000000000000036,1.0,0.20000000000000018
chef,2.0,0.0,0.0,0.0,0.0,2.200000000000003,0.0,0.0
engineer,2.2,3.5,9.0,25.700000000000003,8.7,1.7,10.600000000000001,0.7000000000000002
hairdresser,3.799999999999997,1.0,25.599999999999994,2.9000000000000057,0.9000000000000057,4.700000000000003,4.2,1.4
