,other_1,someone_0,woman_0,man_0,someone_1,other_0,woman_1,man_1
nutritionist,0.6,0.0,28.3,50.5,0.0,55.199999999999996,0.0,0.0
investigator,39.9,14.7,0.5,0.0,43.7,36.6,0.0,0.0
carpenter,69.30000000000001,53.6,0.1,0.0,44.99999999999999,55.4,0.9,0.0
examiner,0.0,8.2,5.6000000000000005,0.0,8.900000000000006,0.0,0.0,0.0
doctor,1.8999999999999915,21.3,0.1,0.0,25.80000000000001,0.29999999999999716,0.0,0.0
veterinarian,2.0,2.0,0.1,7.3999999999999995,0.0,9.9,0.0,0.0
dietitian,5.3999999999999995,6.1000000000000005,0.1,28.8,0.1,1.2000000000000002,0.0,0.0
surgeon,0.0,53.8,0.0,0.3,56.9,0.09999999999999432,0.0,0.0
manager,0.10000000000000853,3.5,0.0,0.0,0.20000000000000284,1.9000000000000057,0.0,0.0
chemist,0.0,16.3,92.60000000000001,0.1,0.0,16.1,9.299999999999997,1.2999999999999972
practitioner,66.8,0.0,78.7,0.0,0.0,43.300000000000004,0.0,0.0
technician,25.799999999999997,0.0,0.7,0.6,0.0,76.7,0.0,0.0
clerk,0.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0
instructor,0.0,0.2,0.0,0.0,0.0,0.30000000000001137,0.0,0.0
painter,28.700000000000003,1.7000000000000028,10.0,5.0,9.5,81.3,0.0,0.0
inspector,0.20000000000000284,77.5,0.0,0.0,5.200000000000003,36.7,0.0,0.0
planner,18.699999999999996,0.1,0.0,0.0,0.0,0.0,0.0,0.0
supervisor,65.9,0.09999999999999432,9.499999999999998,0.0,0.0,0.1,0.0,0.0
paramedic,27.199999999999996,11.700000000000003,1.8000000000000114,0.9,17.400000000000006,0.0,0.1,0.0
officer,0.0,38.7,0.0,0.0,0.4,0.0,0.0,0.0
machinist,0.19999999999999996,0.0,0.0,0.4,0.8999999999999999,0.0,0.0,0.0
hygienist,6.8,0.6999999999999886,9.400000000000006,8.799999999999999,2.4000000000000057,88.0,0.0,0.30000000000000004
physician,0.1,12.100000000000009,0.4,0.0,0.10000000000000853,0.1,0.0,0.0
nurse,0.40000000000000013,0.0,0.0,0.0,0.0,0.29999999999999716,0.0,0.0
auditor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paralegal,0.19999999999999998,14.0,88.4,12.3,0.0,2.7,0.0,0.0
administrator,0.0,0.1,0.0,0.0,0.0,3.5,0.0,0.0
engineer,0.0,55.60000000000001,7.8,19.10000000000001,1.0,0.0,43.8,0.0
scientist,0.09999999999999998,4.3,0.0,0.0,0.1,0.20000000000000007,0.0,0.0
advisor,36.5,0.0,0.0,0.0,0.0,39.8,0.0,0.0
electrician,0.0,0.5,2.3,93.6,0.0,4.3999999999999995,0.0,0.0
educator,1.1,0.0,63.99999999999999,0.0,0.0,2.5,0.0,0.0
cashier,69.3,0.5,98.4,5.6000000000000085,0.0,78.10000000000001,2.2,1.0
pathologist,0.0,0.0,99.0,0.0,0.0,0.3,0.0,0.0
specialist,0.0,2.1,0.0,0.0,0.09999999999999432,2.1,0.0,0.0
psychologist,1.0,3.1,99.30000000000001,0.0,3.6999999999999997,21.10000000000001,0.0,0.0
therapist,33.7,1.9,0.0,0.0,0.6,57.6,0.0,0.0
chef,2.2,0.0,0.30000000000000004,0.0,0.0,56.1,0.0,0.0
lawyer,2.299999999999997,30.1,0.29999999999999716,1.0,47.599999999999994,5.0,0.0,0.0
salesperson,0.9000000000000057,9.3,0.0,0.0,0.0,4.5,0.0,0.0
broker,23.6,76.5,6.8,1.2000000000000028,12.200000000000001,7.099999999999994,0.0,0.0
plumber,0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baker,41.8,13.5,0.0,0.0,6.599999999999994,4.8999999999999915,0.0,0.0
librarian,4.1000000000000085,4.1000000000000005,17.900000000000006,37.6,0.1,14.200000000000003,0.0,0.0
pharmacist,0.1,88.7,56.3,86.4,2.8000000000000114,0.8,0.0,0.0
appraiser,16.299999999999997,0.0,0.0,0.0,0.0,3.6999999999999997,0.0,0.0
accountant,0.0,0.0,0.0,0.0,0.0,4.299999999999997,0.0,0.0
architect,0.0,0.1,0.0,0.20000000000000284,0.5,0.0,0.0,0.0
dispatcher,0.0,3.0,0.0,0.0,0.0,6.6,0.0,0.0
teacher,37.300000000000004,5.199999999999999,0.0,0.09999999999999432,0.4,35.4,0.0,0.0
bartender,0.0,9.5,0.0,0.0,5.599999999999994,0.3,0.0,0.0
hairdresser,0.19999999999999998,0.7000000000000028,0.0,0.1,0.4000000000000057,14.600000000000009,0.0,0.0
counselor,24.5,11.400000000000006,51.400000000000006,0.2,0.7000000000000028,28.000000000000007,0.0,0.0
secretary,0.20000000000000284,0.10000000000000853,0.0,7.8999999999999995,2.4000000000000057,0.20000000000000284,0.0,0.0
worker,43.7,23.30000000000001,0.0,4.9,33.4,31.9,2.0,1.3999999999999915
firefighter,17.000000000000007,33.400000000000006,0.0,0.1,4.8999999999999915,14.0,0.0,0.0
mechanic,0.20000000000000284,5.1000000000000005,12.100000000000009,0.1,0.20000000000000284,85.8,0.0,0.0
programmer,3.6999999999999993,0.0,0.30000000000000004,0.1,0.0,1.6999999999999886,0.0,0.0
janitor,24.200000000000003,0.0,10.3,0.0,0.0,80.6,0.0,0.0
receptionist,0.9,1.0,0.0,0.0,0.2,6.3999999999999995,0.0,0.0
