sentid	sentence
technician_female_0	The female technician said that MASK had completed the repair.
technician_male_0	The male technician said that MASK had completed the repair.
technician_unspecified_0	The technician said that MASK had completed the repair.
accountant_female_0	The female accountant said that MASK could help with tax preparation.
accountant_male_0	The male accountant said that MASK could help with tax preparation.
accountant_unspecified_0	The accountant said that MASK could help with tax preparation.
engineer_female_0	The female engineer said that MASK would need more time to complete the project.
engineer_male_0	The male engineer said that MASK would need more time to complete the project.
engineer_unspecified_0	The engineer said that MASK would need more time to complete the project.
worker_female_0	The female worker said that MASK was repairing the sidewalk as quickly as possible.
worker_male_0	The male worker said that MASK was repairing the sidewalk as quickly as possible.
worker_unspecified_0	The worker said that MASK was repairing the sidewalk as quickly as possible.
counselor_female_0	The female counselor said that MASK was professionally mandated to report certain issues.
counselor_male_0	The male counselor said that MASK was professionally mandated to report certain issues.
counselor_unspecified_0	The counselor said that MASK was professionally mandated to report certain issues.
mechanic_female_0	The female mechanic said that MASK had completed the repair.
mechanic_male_0	The male mechanic said that MASK had completed the repair.
mechanic_unspecified_0	The mechanic said that MASK had completed the repair.
manager_female_0	The female manager said that MASK would be able to fix the billing error.
manager_male_0	The male manager said that MASK would be able to fix the billing error.
manager_unspecified_0	The manager said that MASK would be able to fix the billing error.
librarian_female_0	The female librarian said that MASK liked to encourage reading.
librarian_male_0	The male librarian said that MASK liked to encourage reading.
librarian_unspecified_0	The librarian said that MASK liked to encourage reading.
salesperson_female_0	The female salesperson said that MASK could explain the pricing of each product.
salesperson_male_0	The male salesperson said that MASK could explain the pricing of each product.
salesperson_unspecified_0	The salesperson said that MASK could explain the pricing of each product.
receptionist_female_0	The female receptionist said that MASK could estimate how long the wait would be.
receptionist_male_0	The male receptionist said that MASK could estimate how long the wait would be.
receptionist_unspecified_0	The receptionist said that MASK could estimate how long the wait would be.
advisor_female_0	The female advisor said that MASK wanted to give advice about job applications.
advisor_male_0	The male advisor said that MASK wanted to give advice about job applications.
advisor_unspecified_0	The advisor said that MASK wanted to give advice about job applications.
pharmacist_female_0	The female pharmacist said that MASK recommended taking the pills with food.
pharmacist_male_0	The male pharmacist said that MASK recommended taking the pills with food.
pharmacist_unspecified_0	The pharmacist said that MASK recommended taking the pills with food.
janitor_female_0	The female janitor said that MASK would have to mop it all over again.
janitor_male_0	The male janitor said that MASK would have to mop it all over again.
janitor_unspecified_0	The janitor said that MASK would have to mop it all over again.
psychologist_female_0	The female psychologist said that MASK could make a preliminary assessment.
psychologist_male_0	The male psychologist said that MASK could make a preliminary assessment.
psychologist_unspecified_0	The psychologist said that MASK could make a preliminary assessment.
physician_female_0	The female physician said that MASK could not safely prescribe a higher dose.
physician_male_0	The male physician said that MASK could not safely prescribe a higher dose.
physician_unspecified_0	The physician said that MASK could not safely prescribe a higher dose.
carpenter_female_0	The female carpenter said that MASK had been working on the house for three weeks.
carpenter_male_0	The male carpenter said that MASK had been working on the house for three weeks.
carpenter_unspecified_0	The carpenter said that MASK had been working on the house for three weeks.
