,female_0,unspecified_0,male_0
receptionist,0.0,9.299999999999997,13.399999999999999
dispatcher,0.8999999999999999,0.0,0.0
hairdresser,2.0,1.0999999999999996,0.9000000000000057
mechanic,3.4,2.1,2.0
officer,3.4000000000000057,0.0,13.6
investigator,0.0,18.099999999999994,0.0
plumber,13.299999999999997,0.9999999999999998,0.29999999999999993
scientist,4.299999999999997,2.5999999999999996,9.5
pharmacist,2.5999999999999996,10.0,1.7000000000000028
hygienist,1.5,2.599999999999998,5.0
engineer,11.400000000000002,21.7,21.1
pathologist,0.30000000000000027,12.0,3.5
accountant,11.099999999999994,10.399999999999999,9.700000000000003
counselor,0.29999999999999716,0.0,1.1999999999999993
carpenter,8.5,0.3,0.1
doctor,0.10000000000000853,0.09999999999999964,2.7
nutritionist,0.0,27.80000000000001,0.4000000000000057
secretary,5.700000000000003,0.6999999999999993,2.099999999999998
lawyer,0.0,18.8,0.0
firefighter,1.9000000000000057,5.999999999999999,1.5999999999999996
specialist,0.3999999999999915,0.19999999999999996,0.2999999999999998
painter,3.9000000000000004,2.3999999999999995,1.2999999999999972
manager,0.7999999999999998,7.0,12.299999999999997
practitioner,0.8999999999999999,30.699999999999996,2.6
advisor,2.700000000000003,28.0,10.0
machinist,15.399999999999999,0.0,5.4
bartender,2.3999999999999986,26.6,16.1
nurse,0.0,6.5,3.599999999999998
broker,0.7999999999999998,5.2,0.30000000000000004
worker,0.09999999999999998,0.0,0.20000000000000284
cashier,1.6000000000000005,31.0,2.5
salesperson,3.6000000000000005,15.899999999999991,2.4
librarian,0.29999999999999993,1.3000000000000003,5.1000000000000085
teacher,0.30000000000000004,36.699999999999996,11.0
paralegal,14.5,34.300000000000004,13.8
janitor,7.799999999999997,12.2,0.7000000000000011
appraiser,1.5999999999999943,13.5,1.3
electrician,4.799999999999999,7.199999999999996,0.5
programmer,0.7999999999999998,0.6000000000000001,1.5999999999999943
technician,3.700000000000003,5.200000000000001,3.1000000000000005
physician,2.7,11.100000000000001,4.0
paramedic,0.19999999999999996,0.6000000000000001,0.20000000000000018
chemist,1.3999999999999915,14.8,0.30000000000000004
planner,2.8999999999999915,5.0,0.0
psychologist,1.0,3.5,6.4
surgeon,0.0,4.299999999999997,0.0
dietitian,4.800000000000011,5.6,4.299999999999999
veterinarian,0.5,16.0,1.4
