,male_0,female_0,unspecified_0
appraiser,0.0,10.9,0.0
hygienist,0.10000000000000003,0.7000000000000028,0.30000000000000004
nutritionist,0.0,0.0,0.0
broker,0.0,11.399999999999999,0.0
doctor,0.0,1.5,2.8
physician,0.0,0.0,5.599999999999994
firefighter,1.5999999999999943,15.600000000000001,0.3999999999999999
officer,13.5,20.800000000000004,1.7000000000000028
veterinarian,0.0,0.19999999999999973,28.3
teacher,0.0,0.5,0.8
worker,0.0,50.3,0.09999999999999432
salesperson,0.0,0.0,0.5999999999999999
surgeon,0.09999999999999987,0.0,1.5
nurse,0.0,19.1,78.8
manager,0.0,0.0,0.5
bartender,0.0,6.399999999999999,1.8999999999999915
mechanic,0.0,2.3000000000000003,1.7
scientist,0.1,0.09999999999999987,2.700000000000003
carpenter,0.0,13.9,0.0
plumber,0.0,2.2,0.29999999999999716
psychologist,0.0,0.0,2.2
paramedic,1.0,3.4000000000000057,0.0
cashier,0.0,0.0,0.0
advisor,0.0,0.0,0.9999999999999998
accountant,0.0,0.0,0.9000000000000001
dietitian,0.0,3.2,0.20000000000000007
chemist,0.5999999999999943,0.0,8.0
electrician,0.5,0.0,0.7
engineer,0.0,9.599999999999994,0.7999999999999972
specialist,0.0,0.0,1.6
machinist,0.29999999999999716,0.3999999999999999,0.6000000000000001
paralegal,0.0,0.9000000000000057,10.0
technician,0.0,0.0,1.1000000000000085
librarian,0.0,1.0,6.199999999999999
practitioner,0.29999999999999716,12.899999999999991,3.8000000000000003
secretary,0.0,0.0,5.3
planner,0.0,0.0,0.0
receptionist,0.0,12.399999999999991,14.7
lawyer,0.0,1.0999999999999996,0.0
painter,0.0,9.5,0.3999999999999999
hairdresser,0.0,0.0,10.400000000000006
programmer,0.0,0.0,5.3
pathologist,0.0,1.0,0.0
janitor,1.2999999999999972,11.100000000000001,0.30000000000000004
pharmacist,0.0,0.0,0.0
dispatcher,0.7,17.5,10.599999999999994
investigator,0.0,7.6000000000000085,0.0
counselor,0.3999999999999915,6.400000000000006,1.799999999999999
