,male_0,unspecified_0,female_0
hairdresser,0.0,34.00000000000001,0.0
investigator,0.0,38.2,0.0
technician,0.0,9.600000000000009,0.0
doctor,0.0,1.6999999999999886,0.0
cashier,0.0,2.4,0.0
firefighter,0.0,24.599999999999994,0.0
specialist,0.0,46.4,0.0
dietitian,0.0,40.4,0.0
hygienist,0.0,92.7,0.0
chemist,0.0,25.3,0.0
worker,0.0,59.199999999999996,0.0
nutritionist,0.0,0.0,0.0
nurse,0.0,0.0,0.0
accountant,0.0,47.199999999999996,0.0
electrician,0.0,0.1,0.0
paramedic,0.0,58.599999999999994,0.0
veterinarian,0.0,37.3,0.0
teacher,0.0,49.0,0.0
physician,0.0,10.399999999999999,0.0
scientist,0.0,5.5,0.0
pharmacist,0.0,60.4,0.0
carpenter,0.0,7.799999999999997,0.0
surgeon,0.0,0.0,0.0
lawyer,0.0,3.5,0.0
bartender,0.0,5.3999999999999995,0.0
mechanic,0.0,17.8,0.0
plumber,0.0,79.7,0.0
manager,0.0,27.8,0.0
officer,0.0,18.2,0.0
programmer,0.0,27.7,0.0
pathologist,0.0,3.5,0.0
janitor,0.0,2.1,0.0
salesperson,0.0,0.1,0.0
counselor,0.0,9.799999999999997,0.0
painter,0.0,70.3,0.0
machinist,0.0,0.1,0.0
appraiser,0.0,0.0,0.0
broker,0.0,0.2,0.0
dispatcher,0.0,15.600000000000001,0.0
secretary,0.0,3.299999999999997,0.0
advisor,0.0,0.1,0.0
planner,0.0,0.0,0.0
receptionist,0.0,1.5999999999999943,0.0
psychologist,0.0,0.3,0.0
practitioner,0.0,25.5,0.0
engineer,0.0,0.1,0.0
paralegal,0.0,14.0,0.0
librarian,0.0,66.6,0.0
