,female_0,unspecified_0,male_0
nutritionist,4.200000000000003,0.0,2.299999999999997
bartender,2.7,3.4000000000000004,0.7000000000000002
broker,1.7999999999999972,0.0,0.6000000000000001
firefighter,0.9000000000000057,5.799999999999997,8.8
officer,2.5,0.0,5.200000000000003
librarian,41.300000000000004,3.5,2.2
technician,0.09999999999999964,0.0,37.7
plumber,2.6,23.1,52.7
nurse,42.699999999999996,2.9,0.0
salesperson,11.799999999999997,17.1,3.1000000000000014
advisor,3.4,13.799999999999999,7.299999999999997
machinist,0.5999999999999943,0.0,29.500000000000007
electrician,9.299999999999997,0.0,2.3
pathologist,4.6000000000000085,3.8,34.5
pharmacist,10.6,70.2,4.700000000000003
practitioner,0.6999999999999886,11.3,2.4000000000000004
planner,1.0,9.700000000000003,0.09999999999999432
painter,5.4,7.6,47.5
receptionist,0.3999999999999915,9.299999999999997,7.9
paralegal,2.4,0.5,4.299999999999997
engineer,61.199999999999996,83.4,3.5
mechanic,10.899999999999991,0.0,1.7999999999999998
teacher,0.8,33.4,0.0
investigator,1.9000000000000001,5.9,1.1
lawyer,0.7,5.0,6.100000000000001
physician,1.6999999999999886,10.699999999999989,0.4000000000000057
worker,11.6,24.700000000000003,3.5
paramedic,52.699999999999996,1.1999999999999993,4.300000000000011
hairdresser,4.5,2.2,0.0
secretary,0.0,72.5,26.9
scientist,1.6999999999999997,0.0,2.5999999999999943
counselor,4.4,25.7,23.1
carpenter,6.3,0.0,17.299999999999997
veterinarian,4.8,5.6,43.8
doctor,56.099999999999994,1.3,0.6000000000000001
dispatcher,0.09999999999999432,96.1,3.1
hygienist,4.6,0.5000000000000009,2.1000000000000085
appraiser,60.9,9.099999999999994,0.5
manager,9.299999999999997,0.0,22.1
cashier,6.299999999999997,0.0,1.0
programmer,0.30000000000000004,3.3000000000000007,0.3999999999999999
specialist,1.1,0.1999999999999993,0.5999999999999999
accountant,1.8000000000000003,13.200000000000003,2.0
janitor,0.20000000000000107,41.6,48.0
chemist,0.5,1.8,0.3999999999999915
surgeon,32.7,10.3,37.50000000000001
dietitian,4.9,15.099999999999994,7.6
psychologist,2.4,1.200000000000001,0.2999999999999998
