,unspecified_0,male_0,female_0
pathologist,0.0,0.0,0.2
painter,39.6,3.6000000000000014,31.1
salesperson,32.8,0.0,3.8999999999999986
mechanic,7.800000000000001,0.0,3.0999999999999943
carpenter,10.6,7.2,0.0
officer,0.0,0.0,2.6000000000000014
physician,0.6999999999999957,0.0,0.0
engineer,0.0,16.5,0.0
receptionist,52.2,0.0,2.1999999999999993
plumber,0.0,0.0,0.9000000000000057
counselor,0.0,15.4,0.0
dietitian,6.200000000000003,0.0,0.0
chemist,0.0,0.0,0.0
advisor,1.7999999999999972,0.0,8.200000000000003
nurse,18.4,0.0,0.0
accountant,2.1000000000000014,0.0,0.0
veterinarian,30.099999999999994,9.700000000000003,0.0
paralegal,0.0,7.899999999999999,7.199999999999989
dispatcher,0.0,0.0,0.0
worker,1.0,70.4,0.0
teacher,12.700000000000003,0.0,21.4
secretary,0.0,0.0,0.0
scientist,17.699999999999996,0.0,0.0
broker,24.099999999999994,15.5,0.0
paramedic,5.700000000000003,3.400000000000002,3.5
specialist,0.0,0.0,7.600000000000001
pharmacist,0.30000000000000426,0.0,0.0
bartender,0.19999999999998863,0.0,0.0
programmer,4.3999999999999915,0.09999999999999432,0.0
cashier,23.5,2.0,1.1999999999999886
manager,1.3000000000000007,13.0,5.200000000000003
librarian,0.0,0.0,15.3
psychologist,39.10000000000001,0.0,14.0
machinist,23.6,4.699999999999989,0.0
technician,0.0,0.0,0.0
appraiser,18.1,12.299999999999997,0.0
nutritionist,0.0,0.0,0.0
doctor,4.800000000000001,96.9,0.0
practitioner,1.8999999999999986,0.0,0.3999999999999999
firefighter,0.0,0.0,0.0
lawyer,0.0,4.099999999999994,0.0
hairdresser,12.399999999999991,5.8999999999999995,0.0
janitor,3.599999999999998,40.8,27.700000000000003
surgeon,0.0,0.0,0.0
investigator,0.0,0.0,0.0
hygienist,9.3,7.8,46.7
planner,2.200000000000003,32.3,42.0
electrician,3.799999999999997,0.0,0.0
