,male_0,unspecified_0,female_0
electrician,1.4999999999999998,11.599999999999994,0.0
accountant,0.0,6.900000000000006,0.0
librarian,0.0,0.0,5.200000000000003
practitioner,0.0,14.699999999999996,0.0
salesperson,0.0,3.6000000000000014,3.6
manager,0.0,0.0,2.1000000000000014
technician,0.0,3.700000000000003,0.0
dietitian,4.1000000000000085,3.3000000000000007,12.099999999999994
broker,2.9000000000000057,4.6,4.1
worker,0.0,12.5,0.0
chemist,0.39999999999999947,5.5,2.6
receptionist,3.5,0.8999999999999986,0.0
secretary,7.799999999999997,3.5,0.0
counselor,0.0,0.0,47.1
engineer,2.9,1.0,31.9
officer,0.7000000000000028,15.399999999999999,0.0
hygienist,0.5999999999999996,1.1000000000000014,6.799999999999997
painter,0.0,2.9,0.0
physician,1.7999999999999972,4.300000000000004,0.0
programmer,0.3999999999999999,4.4,0.8
hairdresser,0.5,0.0,0.0
specialist,0.0,1.8999999999999915,0.0
paralegal,0.30000000000001137,0.0,4.400000000000006
bartender,11.5,15.0,0.0
surgeon,0.0,41.8,0.0
veterinarian,0.0,3.0,0.0
cashier,0.0,0.0,0.0
doctor,3.5,13.0,0.0
nutritionist,0.0,0.0,0.0
investigator,0.0,0.0,5.299999999999997
firefighter,0.0,9.100000000000001,50.0
janitor,0.8999999999999999,0.0,0.0
pharmacist,3.299999999999997,0.0,0.0
dispatcher,1.5999999999999943,24.900000000000002,0.0
planner,1.0,6.400000000000002,0.6
advisor,0.20000000000000284,14.100000000000001,17.3
pathologist,9.5,60.7,0.0
paramedic,0.0,9.100000000000001,0.0
scientist,0.0,8.600000000000001,0.0
machinist,0.0,68.1,0.0
appraiser,0.29999999999999716,18.5,0.0
carpenter,0.0,12.4,0.0
plumber,3.3999999999999915,15.700000000000003,0.0
lawyer,10.599999999999994,15.900000000000006,0.0
mechanic,0.0,14.499999999999993,0.0
teacher,0.3999999999999915,2.299999999999997,0.0
nurse,0.0,4.799999999999997,1.4
psychologist,0.0,5.399999999999999,0.0
