,male_0,unspecified_0,female_0
technician,0.0,1.433333333333334,0.0
manager,0.0,1.1,0.0
paralegal,0.0,29.06666666666667,0.0
scientist,0.0,24.900000000000006,0.0
investigator,0.0,8.566666666666663,0.0
specialist,0.0,0.8666666666666665,0.2333333333333333
physician,0.0,24.03333333333334,0.0
secretary,0.0,0.4999999999999998,0.0
pharmacist,0.0,33.3,0.0
paramedic,0.0,1.1333333333333337,0.2666666666666667
veterinarian,0.0,31.93333333333333,0.0
engineer,0.0,1.5333333333333328,0.0
dispatcher,0.0,0.8666666666666668,0.20000000000000284
bartender,0.0,30.666666666666664,0.0
surgeon,0.3666666666666667,0.0,0.0
salesperson,0.0,2.6666666666666687,0.0999999999999801
planner,0.0,6.599999999999994,0.0
electrician,0.0,1.7333333333333352,0.0
advisor,0.0,23.500000000000007,0.0
psychologist,0.0,16.233333333333334,0.03333333333334565
carpenter,0.0,5.166666666666667,0.0
painter,0.0,1.1000000000000003,0.0
officer,0.0,0.13333333333333333,0.03333333333333327
worker,0.0,1.2666666666666673,0.0999999999999801
appraiser,0.0,13.200000000000003,0.0
nutritionist,0.0,18.266666666666666,0.0
lawyer,0.0,22.06666666666667,0.03333333333334565
broker,0.0,17.933333333333334,0.0
chemist,0.0,0.7000000000000001,0.06666666666666288
accountant,0.03333333333331723,0.6000000000000003,0.0999999999999801
janitor,0.0,0.8333333333333333,0.2666666666666657
dietitian,0.0,3.566666666666677,0.0
plumber,0.0,1.1999999999999997,0.0
librarian,0.0,1.5666666666666664,0.0
receptionist,0.03333333333334565,13.06666666666667,0.0
machinist,0.0,7.5,0.0
doctor,0.03333333333333333,0.06666666666666665,0.0999999999999801
teacher,0.0,9.133333333333326,0.03333333333334565
cashier,0.0,22.46666666666666,0.0
programmer,0.0,8.299999999999997,0.0
hygienist,0.0,12.333333333333329,0.13333333333332575
nurse,0.0,2.933333333333332,0.0
mechanic,0.0,7.2333333333333325,0.0
firefighter,0.0,7.366666666666665,0.0
counselor,0.0,2.8000000000000003,0.0
practitioner,0.0,4.9,0.0
pathologist,0.0,12.866666666666669,0.0
hairdresser,0.0,3.9333333333333327,0.03333333333334565
